championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Rengar,"['Lillia', '55.6%']","['Amumu', '54.5%']","['Taliyah', '53.9%']","['Vi', '53.8%']","['Kindred', '53.4%']","['Nidalee', '53.2%']"
Wukong,"['Jax', '54.9%']","['Warwick', '54.7%']","['Trundle', '52.4%']","['Sejuani', '52.1%']","['Amumu', '51.9%']","['Elise', '51.6%']"
Shyvana,"[""Rek'Sai"", '55.6%']","['Shaco', '55.4%']","['Wukong', '54.6%']","['Gragas', '54.3%']","['Poppy', '54.2%']","['Rammus', '53.6%']"
Vex,"['Hwei', '65.8%']","[""Vel'Koz"", '58.6%']","['LeBlanc', '56.9%']","['Yone', '56.7%']","['Ryze', '56.0%']","['Ziggs', '56.0%']"
Kalista,"[""Kai'Sa"", '51.5%']","['Aphelios', '51.1%']","['Zeri', '50.9%']","['Xayah', '50.9%']","['Sivir', '50.5%']","['Caitlyn', '50.3%']"
Jayce,"['Varus', '54.3%']","['Akali', '52.3%']","['Yone', '52.0%']","['Rumble', '51.7%']","['Gwen', '51.5%']","['Darius', '51.3%']"
Ezreal,"['Zeri', '54.1%']","['Aphelios', '53.2%']","['Xayah', '53.2%']","['Varus', '52.3%']","['Caitlyn', '52.0%']","['Draven', '51.7%']"
Rell,"['Hwei', '66.4%']","['Yuumi', '56.2%']","['Pantheon', '55.3%']","['Heimerdinger', '54.4%']","['Nautilus', '54.3%']","['Lulu', '53.6%']"
Kled,"['Kennen', '60.7%']","['Yasuo', '58.6%']","['Sion', '58.3%']","['Rengar', '58.0%']","['Dr. Mundo', '57.7%']","['Volibear', '56.4%']"
Gragas,"['Trundle', '57.9%']","['Xin Zhao', '55.2%']","['Sejuani', '54.9%']","['Sylas', '54.8%']","['Udyr', '54.5%']","['Wukong', '54.0%']"
Xerath,"['Hwei', '66.6%']","['Brand', '56.3%']","['Heimerdinger', '56.3%']","['Lux', '55.2%']","['Alistar', '55.0%']","['Renata Glasc', '54.6%']"
Olaf,"[""Cho'Gath"", '59.5%']","['Sion', '58.0%']","['Kennen', '57.9%']","['Gnar', '57.0%']","['Jayce', '56.4%']","['Warwick', '56.1%']"
Veigar,"['Hwei', '65.9%']","['Ziggs', '57.4%']","['Neeko', '55.4%']","['Tristana', '55.0%']","['Yone', '54.4%']","['Akali', '54.0%']"
Syndra,"['Hwei', '65.7%']","['Azir', '55.5%']","['Yone', '53.8%']","['Pantheon', '53.5%']","['Vladimir', '52.7%']","['Lissandra', '52.6%']"
Ornn,"['Zac', '61.9%']","['Yorick', '58.9%']","['Kennen', '58.6%']","['Jayce', '57.6%']","['Teemo', '57.1%']","['Akali', '56.5%']"
Jarvan IV,"['Amumu', '54.3%']","['Wukong', '53.6%']","['Sejuani', '53.6%']","['Zac', '53.0%']","['Nunu & Willump', '52.1%']","['Sylas', '52.1%']"
Gwen,"['Sion', '59.1%']","[""Cho'Gath"", '56.2%']","['Dr. Mundo', '54.8%']","['Illaoi', '54.7%']","['Shen', '54.3%']","['Tahm Kench', '54.2%']"
Lux,"['Hwei', '65.9%']","['Morgana', '53.2%']","['Swain', '53.2%']","['Ashe', '51.9%']","[""Vel'Koz"", '51.7%']","['Karma', '51.7%']"
Vayne,"['Zeri', '56.3%']","['Ziggs', '56.2%']","['Yasuo', '56.0%']","['Sivir', '55.5%']","[""Kog'Maw"", '54.3%']","['Nilah', '53.8%']"
Ivern,"['Amumu', '58.9%']","['Wukong', '58.0%']","['Poppy', '57.5%']","['Warwick', '57.1%']","['Diana', '56.3%']","['Lillia', '56.2%']"
Seraphine,"['Hwei', '65.1%']","['Neeko', '54.5%']","['Lulu', '54.5%']","['Alistar', '53.4%']","['Rell', '52.1%']","['Lux', '51.9%']"
Shen,"['Sion', '57.4%']","['Sylas', '56.2%']","['Akali', '54.9%']","['Gragas', '54.5%']","['Tahm Kench', '54.4%']","['Irelia', '54.4%']"
Yone,"['Yorick', '55.5%']","['Mordekaiser', '55.1%']","[""Cho'Gath"", '54.3%']","['Sion', '52.4%']","['Yasuo', '52.2%']","['Gwen', '51.8%']"
Master Yi,"['Rengar', '55.1%']","['Talon', '54.6%']","['Udyr', '54.5%']","['Wukong', '54.5%']","['Diana', '54.5%']","['Sejuani', '54.5%']"
Nocturne,"['Poppy', '57.1%']","['Wukong', '55.2%']","['Warwick', '54.9%']","['Vi', '54.4%']","['Diana', '53.8%']","['Viego', '53.8%']"
Zyra,"['Hwei', '70.2%']","['Swain', '57.2%']","['Miss Fortune', '56.5%']","['Brand', '55.5%']","['Ashe', '55.0%']","['Morgana', '54.9%']"
Maokai,"['Wukong', '58.9%']","['Amumu', '55.8%']","['Poppy', '53.7%']","['Ekko', '53.0%']","['Trundle', '52.9%']","['Lillia', '52.6%']"
Xin Zhao,"['Maokai', '54.9%']","['Ivern', '54.7%']","['Amumu', '54.4%']","['Jarvan IV', '53.9%']","['Nidalee', '53.6%']","['Poppy', '53.0%']"
Twisted Fate,"['Hwei', '66.5%']","['Akali', '55.6%']","['Azir', '55.1%']","['LeBlanc', '54.6%']","['Ryze', '53.9%']","['Yone', '53.7%']"
