championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Rengar,"['Dr. Mundo', '57.1%', 'Top']","['Xerath', '56.5%', 'Mid']","['Annie', '56.5%', 'Mid']","['Anivia', '56.3%', 'Mid']","['Rumble', '55.6%', 'Top']","['Swain', '55.3%', 'Mid']"
Wukong,"['Tahm Kench', '53.4%', 'Top']","['Illaoi', '53.0%', 'Top']","['Azir', '52.6%', 'Mid']","['Pantheon', '52.1%', 'Top']","['Kassadin', '51.8%', 'Mid']","['Veigar', '51.5%', 'Mid']"
Shyvana,"['Tahm Kench', '56.2%', 'Top']","['Talon', '54.8%', 'Mid']","['Sylas', '54.1%', 'Mid']","['Qiyana', '53.6%', 'Mid']","['Riven', '53.5%', 'Top']","['Vex', '53.3%', 'Mid']"
Vex,"['Xin Zhao', '60.2%', 'Jungle']","['Master Yi', '57.8%', 'Jungle']","['Rammus', '57.5%', 'Jungle']","['Kindred', '56.0%', 'Jungle']","['Maokai', '55.8%', 'Jungle']","[""Kha'Zix"", '55.7%', 'Jungle']"
Kalista,"['Blitzcrank', '53.6%', 'Support']","['Janna', '53.5%', 'Support']","['Taric', '52.7%', 'Support']","['Sona', '52.6%', 'Support']","['Lux', '52.4%', 'Support']","['Thresh', '52.3%', 'Support']"
Jayce,"['Trundle', '54.1%', 'Jungle']","['Rengar', '53.4%', 'Jungle']","['Rell', '53.4%', 'Jungle']","['Rammus', '52.7%', 'Jungle']","['Kindred', '51.5%', 'Jungle']","[""Bel'Veth"", '51.3%', 'Jungle']"
Ezreal,"['LeBlanc', '56.5%', 'Support']","['Fiddlesticks', '55.5%', 'Support']","['Poppy', '55.0%', 'Support']","['Vex', '54.9%', 'Support']","['Sylas', '54.8%', 'Support']","['Zyra', '54.2%', 'Support']"
Rell,"['Ziggs', '60.8%', 'Bot']","['Twitch', '55.1%', 'Bot']","['Nilah', '53.8%', 'Bot']","['Varus', '52.8%', 'Bot']","['Lucian', '52.2%', 'Bot']","['Draven', '52.0%', 'Bot']"
Kled,"['Rammus', '56.7%', 'Jungle']","['Gragas', '56.1%', 'Jungle']","['Fiddlesticks', '56.0%', 'Jungle']","['Brand', '55.2%', 'Jungle']","['Lillia', '54.8%', 'Jungle']","['Graves', '54.7%', 'Jungle']"
Gragas,"['Tristana', '57.8%', 'Mid']","['Naafiri', '57.1%', 'Mid']","['Kayle', '56.0%', 'Top']","['Vayne', '55.8%', 'Top']","['Fizz', '55.6%', 'Mid']","['Kassadin', '54.8%', 'Mid']"
Xerath,"['Jhin', '54.2%', 'Bot']","[""Kog'Maw"", '54.1%', 'Bot']","['Vayne', '53.6%', 'Bot']","['Ashe', '52.9%', 'Bot']","['Ezreal', '52.7%', 'Bot']","['Caitlyn', '52.3%', 'Bot']"
Olaf,"['Taliyah', '60.9%', 'Jungle']","['Ivern', '57.0%', 'Jungle']","['Karthus', '56.6%', 'Jungle']","['Rammus', '55.8%', 'Jungle']","['Fiddlesticks', '55.6%', 'Jungle']","['Zac', '54.7%', 'Jungle']"
Veigar,"['Rammus', '57.0%', 'Jungle']","['Xin Zhao', '56.1%', 'Jungle']","['Warwick', '54.7%', 'Jungle']","[""Kha'Zix"", '54.6%', 'Jungle']","['Talon', '54.5%', 'Jungle']","['Nocturne', '54.3%', 'Jungle']"
Syndra,"['Rengar', '54.9%', 'Jungle']","['Trundle', '54.9%', 'Jungle']","['Rammus', '54.6%', 'Jungle']","['Master Yi', '54.3%', 'Jungle']","['Briar', '54.1%', 'Jungle']","[""Kha'Zix"", '53.9%', 'Jungle']"
Ornn,"['Trundle', '56.8%', 'Jungle']","['Xin Zhao', '56.6%', 'Jungle']","['Briar', '56.1%', 'Jungle']","['Talon', '56.0%', 'Jungle']","['Warwick', '55.5%', 'Jungle']","[""Bel'Veth"", '55.4%', 'Jungle']"
Jarvan IV,"['Cassiopeia', '55.1%', 'Mid']","['Kayle', '54.0%', 'Top']","['Rengar', '53.7%', 'Top']","['Vayne', '53.6%', 'Top']","['Rumble', '53.6%', 'Mid']","['Neeko', '53.4%', 'Mid']"
Gwen,"['Ivern', '54.3%', 'Jungle']","[""Rek'Sai"", '54.1%', 'Jungle']","['Talon', '53.2%', 'Jungle']","['Maokai', '53.0%', 'Jungle']","['Fiddlesticks', '52.6%', 'Jungle']","['Hecarim', '52.1%', 'Jungle']"
Lux,"['Yasuo', '55.6%', 'Bot']","['Veigar', '55.1%', 'Bot']","['Swain', '54.7%', 'Bot']","['Kalista', '53.5%', 'Bot']","['Ashe', '52.3%', 'Bot']","['Jhin', '52.2%', 'Bot']"
Vayne,"['Taric', '56.4%', 'Support']","['Zyra', '55.6%', 'Support']","['Poppy', '55.5%', 'Support']","['Soraka', '55.4%', 'Support']","['Sona', '55.4%', 'Support']","['Milio', '55.0%', 'Support']"
Ivern,"['Talon', '62.9%', 'Mid']","['Rengar', '60.1%', 'Top']","['Kled', '59.5%', 'Top']","['Fizz', '57.9%', 'Mid']","['Olaf', '57.7%', 'Top']","['Galio', '57.7%', 'Mid']"
Seraphine,"['Nilah', '53.9%', 'Bot']","['Ashe', '52.9%', 'Bot']","['Vayne', '52.3%', 'Bot']","['Ziggs', '51.4%', 'Bot']","['Samira', '51.3%', 'Bot']","['Twitch', '51.2%', 'Bot']"
Shen,"['Rammus', '57.5%', 'Jungle']","['Kindred', '55.6%', 'Jungle']","['Xin Zhao', '54.5%', 'Jungle']","['Warwick', '54.5%', 'Jungle']","['Evelynn', '54.5%', 'Jungle']","['Master Yi', '54.4%', 'Jungle']"
