Champion,QName,QDescription,WName,WDescription,EName,EDescription,RName,RDescription,PName,PDescription
Katarina,Bouncing Blade,Katarina throws a <font color='#FFF673'>Dagger</font> at the target that then bounces to nearby enemies before ricocheting onto the ground.,Preparation,"Katarina gains a burst of Move Speed, tossing a <font color='#FFF673'>Dagger</font> into the air directly above herself.",Shunpo,"Katarina blinks to the target, striking it if its an enemy, or striking the nearest enemy otherwise.",Death Lotus,"Katarina becomes a flurry of blades, dealing massive magic damage while she channels to the 3 nearest enemy champions.",Voracity,"Whenever an enemy champion dies that Katarina has damaged recently, her remaining ability cooldowns are dramatically reduced.  If Katarina picks up a <font color='#FFF673'>Dagger</font>, she uses it to slash through all nearby enemies, dealing magic damage."
Varus,Piercing Arrow,Varus readies and then fires a powerful shot that gains extra range and damage the longer he spends preparing to fire.,Blighted Quiver,"Passive: Varus' basic attacks deal bonus magic damage and apply Blight. Varus' other abilities detonate Blight, dealing magic damage based on the target's maximum Health. Active: Varus empowers his next Piercing Arrow.",Hail of Arrows,Varus fires a hail of arrows that deal physical damage and desecrate the ground. Desecrated ground slows enemies' Move Speed and reduces their self healing and regeneration.,Chain of Corruption,"Varus flings out a damaging tendril of corruption that immobilizes the first enemy champion hit and then spreads towards nearby uninfected champions, immobilizing them too on contact.",Living Vengeance,"On kill or assist, Varus temporarily gains Attack Speed. This bonus is larger if the enemy is a champion."
Kassadin,Null Sphere,"Kassadin fires an orb of void energy at a target, dealing damage and interrupting channels. The excess energy forms around himself, granting a temporary shield that absorbs magic damage.",Nether Blade,Passive: Kassadin's basic attacks deal bonus magic damage. Active: Kassadin's next basic attack deals significant bonus magic damage and restores Mana.,Force Pulse,"Kassadin draws energy from spells cast in his vicinity. Upon charging up, Kassadin can use Force Pulse to damage and slow enemies in a cone in front of him.",Riftwalk,Kassadin teleports to a nearby location dealing damage to nearby enemy units. Multiple Riftwalks in a short period of time cost additional Mana but also deal additional damage.,Void Stone,Kassadin takes reduced magic damage and ignores unit collision.
Fizz,Urchin Strike,"Fizz dashes through his target, dealing magic damage and applying on hit effects.",Seastone Trident,"Fizz's attacks bleed his enemies, dealing magic damage over several seconds. Fizz can empower his next attack to deal bonus damage and empower his further attacks for a short time.",Playful / Trickster,"Fizz hops into the air, landing gracefully upon his spear and becoming untargetable. From this position, Fizz can either slam the ground or choose to jump again before smashing back down.",Chum the Waters,"Fizz tosses a fish in a direction that attaches to any champion that touches it, slowing the target. After a short delay, a shark erupts from the ground, knocking up the target and knocking any nearby enemies aside. All enemies hit are dealt magic damage and slowed.",Nimble Fighter,Fizz can move through units and takes a flat amount of reduced damage from all sources
Kled,Bear Trap on a Rope,"Kled throws a bear trap that damages and hooks an enemy champion. If shackled for a short duration, the target takes additional physical damage and is yanked toward Kled.  When dismounted, this ability is replaced by Pocket Pistol, a ranged gun blast that knocks back Kled and restores courage.",Violent Tendencies,Kled gains massive attack speed for four attacks. The fourth attack deals more damage.,Jousting,"Kled dashes, dealing physical damage and gaining a short burst of speed. Kled can cast this ability again to dash back through his initial target, dealing the same damage.",Chaaaaaaaarge!!!,"Kled and Skaarl charge to a location, leaving a speed-granting trail behind them and gaining a shield. Skaarl locks onto and rams the first enemy champion encountered.","Skaarl, the Cowardly Lizard","Kled rides his trusty steed, Skaarl, who takes damage for him. When Skaarl's health depletes, Kled dismounts.  While dismounted, Kled's abilities change and he deals less damage to champions. Kled can restore Skaarl's courage by fighting enemies. At maximum courage, Kled remounts with a portion of Skaarl's health."
Zac,Stretching Strikes,"Zac stretches an arm, grabbing an enemy. Attacking a different enemy will cause him to throw both targets towards each other.",Unstable Matter,"Zac explodes outward towards nearby enemies, dealing a percentage of their maximum health as magic damage.",Elastic Slingshot,"Zac attaches his arms to the ground and stretches back, launching himself forward.",Let's Bounce!,"Zac bounces four times, knocking up enemies hit and slowing them.",Cell Division,"Each time Zac hits an enemy with an ability, he sheds a chunk of himself that can be reabsorbed to restore Health. Upon taking fatal damage, Zac splits into 4 bloblets that attempt to recombine. If any bloblets remain, he will revive with an amount of Health depending on the Health of the surviving bloblets. Each bloblet has a percentage of Zac's maximum Health, Armor and Magic Resistance. This ability has a 5 minute cooldown."
Neeko,Blooming Burst,Neeko throws a seed dealing magic damage. The seed blooms again on hitting champions or killing units.,Shapesplitter,Neeko passively deals bonus magic damage every third attack. Neeko can activate to send a clone in a direction.,Tangle-Barbs,"Neeko slings a tangle that damage and root everything it passes through. If the tangle kills an enemy or passes through a champion, it becomes larger, faster, and roots for longer.",Pop Blossom,"After a short preparation, Neeko leaps into the air. Upon landing, nearby enemies are damaged and knocked up. The preparation is hidden if Neeko is disguised.",Inherent Glamour,Neeko can look like an ally champion. Taking damage from enemy Champions or casting damaging spells breaks the disguise.
MonkeyKing,Crushing Blow,"Wukong's next attack gains attack range, deals bonus damage, and reduces the target's armor for a few seconds.",Warrior Trickster,"Wukong becomes <font color='#91d7ee'>Invisible</font> and dashes in a direction, leaving behind a clone that will attack nearby enemies.",Nimbus Strike,"Wukong dashes to a targeted enemy and sends out images to attack enemies near his target, dealing damage to each enemy struck.",Cyclone,"Wukong's extends his staff and spins it around repeatedly, gaining Move Speed.  Enemies struck take damage and are knocked up.",Stone Skin,Wukong gains stacking armor and max health regeneration while fighting champions and monsters.
Sylas,Chain Lash,"Sylas lashes his chains out, intersecting at his targeted location dealing damage to and slowing enemies. After a delay, magical energy explodes from the intersection point dealing damage.",Kingslayer,Sylas lunges at an enemy with magical force dealing damage and healing himself against enemy champions.,Abscond / Abduct,"Sylas dashes to a location. Sylas can recast the ability to throw his chains out, pulling himself to an enemy he hits.",Hijack,Sylas steals the enemy's ultimate ability and can cast it freely.,Petricite Burst,"After casting a spell, Sylas stores a charge of Petricite Burst. Sylas's basic attacks will expend a charge and whirl his energized chains around him dealing bonus magic damage to enemies hit. While Sylas has a charge of Petricite Burst, he gains attack speed. "
Samira,Flair,"Samira fires a shot or swings her sword, dealing damage. If cast during Wild Rush, strike all enemies in her path upon completion.",Blade Whirl,"Samira slashes around her, damaging enemies and destroying enemy missiles.",Wild Rush,"Samira dashes through an enemy (including structures), slashing enemies she passes through and gaining Attack Speed. Killing an enemy champion refreshes this ability's cooldown.",Inferno Trigger,"Samira unleashes a torrent of shots from her weapons, wildly shooting all enemies surrounding her.",Daredevil Impulse,"Samira builds a combo by hitting attacks or abilities unique from the previous hit. Samira's attacks in melee range deal additional magic damage. Samira's attacks against enemies affected by <status>Immobilizing</status> effects will dash her to her attack range. If the enemy is <status>Knocked Up</status>, she also keeps them <status>Knocked Up</status> briefly."
AurelionSol,Breath of Light,"Aurelion Sol channels his dragon breath for a few seconds, damaging the first enemy hit and splashing reduced damage onto nearby enemies. Each second the breath is channeled directly at an enemy will deal bonus damage, which is improved by the amount of Stardust that's been collected. This ability collects Stardust if the target is a champion.",Astral Flight,"Aurelion Sol flies over terrain in a targeted direction. While in this state, he can cast other abilities. Breath of Light no longer has a cooldown or maximum channel duration and deals increased damage while flying.\n\nAstral Flight's remaining cooldown is reduced whenever an enemy champion dies after being recently damaged by Aurelion Sol.\n\nStardust increases Astral Flight's maximum range.",Singularity,"Aurelion Sol summons a black hole, damaging enemies and slowly pulling them toward its center. This ability grants Stardust each time an enemy dies within the black hole and for each second an enemy champion is caught inside it. The center of the black hole executes enemies who are below a certain percentage of their maximum health. Stardust increases Singularity's area as well as the execution threshold.",Falling Star / The Skies Descend,"Falling Star: Aurelion Sol crashes a star into the earth. This impact deals magic damage and stuns enemies while also granting Stardust for each enemy champion it hits. Gathering enough Stardust transforms Aurelion Sol's next Falling Star into The Skies Descend. The Skies Descend: Aurelion Sol drags a giant star down from the heavens with an increased impact zone and increased damage, knocking up enemies rather than stunning them. A shockwave then spreads from the edge of the impact zone, which damages and slows the enemies it hits. Stardust increases the impact area of both Falling Star and The Skies Descend.",Cosmic Creator,"Aurelion Sol's damaging Abilities break down enemies into stacks of <font color='#3458eb'>Stardust</font>, which permanently improves each of his abilities. "
