,top,name,tier,position,winRate,pickRate,banRate
0,1,Trundle,0,TOP,51.27,14.55,36.16
1,2,Sylas,0,MID,51.12,13.56,23.92
2,3,Swain,1,ADC,55.68,0.67,0.27
3,4,Singed,1,TOP,53.42,1.27,0.27
4,5,Zyra,1,SUPPORT,53.28,4.71,3.43
5,6,Rammus,1,JUNGLE,52.59,3.80,6.48
6,7,Xerath,1,MID,52.43,3.77,8.14
7,8,Xerath,1,SUPPORT,52.35,9.27,20.06
8,9,Fizz,1,MID,52.20,4.25,3.90
9,10,Nasus,1,TOP,52.19,4.95,3.33
10,11,Talon,1,MID,52.09,4.93,2.78
11,12,Briar,1,JUNGLE,52.03,7.03,21.37
12,13,Nocturne,1,JUNGLE,51.94,12.21,21.83
13,14,Rakan,1,SUPPORT,51.87,10.28,8.46
14,15,Garen,1,TOP,51.75,5.14,2.04
15,16,Blitzcrank,1,SUPPORT,51.71,12.60,58.57
16,17,Fiora,1,TOP,51.49,5.54,8.66
17,18,Irelia,1,MID,51.46,5.18,8.04
18,19,Jhin,1,ADC,51.27,15.09,2.34
19,20,Malphite,1,TOP,51.07,6.50,6.76
20,21,Lucian,1,ADC,50.83,18.47,8.38
21,22,Ezreal,1,ADC,50.81,31.25,19.99
22,23,Graves,1,JUNGLE,50.66,15.85,18.19
23,24,Akali,1,MID,50.34,12.87,12.47
24,25,Jax,1,TOP,50.34,11.85,21.09
25,26,Aatrox,1,TOP,49.63,15.08,12.64
26,27,Yone,1,MID,49.44,15.08,20.52
27,28,Anivia,2,MID,52.83,1.52,0.63
28,29,Naafiri,2,MID,52.82,1.07,1.91
29,30,Ivern,2,JUNGLE,52.73,1.10,0.80
30,31,Maokai,2,SUPPORT,52.68,1.76,0.20
31,32,Zac,2,TOP,52.49,1.12,0.23
32,33,Ziggs,2,ADC,52.47,2.93,4.40
33,34,Akshan,2,MID,52.41,1.99,2.98
34,35,Quinn,2,TOP,52.23,1.44,2.08
35,36,Kayle,2,TOP,52.10,2.15,0.63
36,37,Poppy,2,TOP,52.10,1.40,1.21
37,38,Brand,2,JUNGLE,52.09,2.21,0.67
38,39,Ornn,2,TOP,52.08,2.74,0.34
39,40,Malzahar,2,MID,52.02,2.36,1.07
40,41,Neeko,2,MID,51.94,2.93,3.14
41,42,Shaco,2,SUPPORT,51.91,1.73,8.88
42,43,Galio,2,MID,51.81,2.21,0.29
43,44,Fiddlesticks,2,JUNGLE,51.80,2.38,0.73
44,45,Brand,2,SUPPORT,51.75,3.10,0.94
45,46,Bard,2,SUPPORT,51.58,2.46,0.21
46,47,Evelynn,2,JUNGLE,51.52,3.07,2.15
47,48,Veigar,2,MID,51.51,2.40,0.41
48,49,Leona,2,SUPPORT,51.44,7.31,5.18
49,50,Vex,2,MID,51.42,4.74,4.24
50,51,Twisted Fate,2,MID,51.36,3.62,0.22
51,52,Janna,2,SUPPORT,51.34,2.96,0.51
52,53,Karthus,2,JUNGLE,51.31,2.90,2.68
53,54,Viktor,2,MID,51.21,3.06,1.04
54,55,Jax,2,JUNGLE,51.15,2.13,3.79
55,56,Taliyah,2,JUNGLE,51.14,3.48,1.91
56,57,Volibear,2,TOP,51.04,3.55,1.03
57,58,Shaco,2,JUNGLE,50.98,5.35,27.51
58,59,Neeko,2,SUPPORT,50.97,3.43,3.68
59,60,Illaoi,2,TOP,50.96,4.63,9.75
60,61,Poppy,2,JUNGLE,50.90,3.97,3.42
61,62,Vayne,2,ADC,50.83,6.56,3.85
62,63,Trundle,2,JUNGLE,50.83,2.02,5.03
63,64,Katarina,2,MID,50.76,3.64,1.43
64,65,Milio,2,SUPPORT,50.74,3.88,0.86
65,66,Alistar,2,SUPPORT,50.69,5.44,2.93
66,67,Miss Fortune,2,ADC,50.64,7.21,1.47
67,68,Ashe,2,ADC,50.62,9.41,5.17
68,69,Soraka,2,SUPPORT,50.59,3.73,0.29
69,70,Darius,2,TOP,50.56,6.48,13.84
70,71,Samira,2,ADC,50.42,9.66,19.09
71,72,Morgana,2,SUPPORT,50.38,7.02,11.71
72,73,Pyke,2,SUPPORT,50.36,6.92,10.40
73,74,Ekko,2,JUNGLE,50.35,5.89,1.33
74,75,Senna,2,SUPPORT,50.30,8.17,6.05
75,76,Thresh,2,SUPPORT,50.02,11.75,4.63
76,77,Caitlyn,2,ADC,49.74,17.13,8.10
77,78,Syndra,2,MID,49.62,7.77,6.31
78,79,Yasuo,2,MID,49.57,10.93,12.10
79,80,Ahri,2,MID,49.50,7.53,1.41
80,81,Nautilus,2,SUPPORT,49.45,10.69,17.98
81,82,Lee Sin,2,JUNGLE,49.32,24.69,24.16
82,83,Lux,2,SUPPORT,49.25,12.16,7.97
83,84,Zed,2,MID,48.98,6.38,18.51
84,85,Orianna,2,MID,48.72,11.67,19.39
85,86,Zac,3,SUPPORT,52.51,0.89,0.19
86,87,Swain,3,MID,52.49,0.74,0.29
87,88,Maokai,3,TOP,52.46,0.89,0.10
88,89,Sett,3,MID,51.97,0.56,0.12
89,90,Rumble,3,MID,51.92,1.00,0.68
90,91,Zilean,3,SUPPORT,51.72,1.69,0.24
91,92,Aurelion Sol,3,MID,51.60,1.04,0.14
92,93,Olaf,3,TOP,51.57,1.51,0.82
93,94,Annie,3,MID,51.55,0.94,0.11
94,95,Kled,3,TOP,51.43,0.99,0.28
95,96,Diana,3,MID,51.34,1.47,0.10
96,97,Braum,3,SUPPORT,51.30,2.11,0.24
97,98,Warwick,3,TOP,51.24,1.21,0.21
98,99,Elise,3,JUNGLE,51.22,2.47,2.45
99,100,Kassadin,3,MID,51.19,1.12,0.27
100,101,Heimerdinger,3,SUPPORT,51.17,1.47,1.00
101,102,Urgot,3,TOP,51.17,1.13,0.14
102,103,Rek'Sai,3,JUNGLE,51.12,1.21,1.24
103,104,Malphite,3,MID,51.10,1.18,1.23
104,105,Cassiopeia,3,MID,51.05,1.38,0.53
105,106,Brand,3,MID,51.05,1.03,0.31
106,107,Tahm Kench,3,TOP,51.05,1.63,0.30
107,108,Shyvana,3,JUNGLE,51.03,1.54,0.17
108,109,Lillia,3,JUNGLE,50.95,1.99,0.38
109,110,Dr. Mundo,3,TOP,50.94,2.06,0.33
110,111,Lissandra,3,MID,50.93,2.31,0.50
111,112,Vayne,3,TOP,50.93,1.90,1.12
112,113,Rengar,3,TOP,50.68,1.12,0.33
113,114,Talon,3,JUNGLE,50.62,2.74,1.55
114,115,Zac,3,JUNGLE,50.56,3.82,0.80
115,116,Ekko,3,MID,50.56,2.50,0.56
116,117,Camille,3,TOP,50.55,3.12,0.64
117,118,Renata Glasc,3,SUPPORT,50.53,2.63,1.14
118,119,Maokai,3,JUNGLE,50.52,2.51,0.29
119,120,Vladimir,3,MID,50.48,1.59,0.29
120,121,Bel'Veth,3,JUNGLE,50.45,3.30,1.45
121,122,Warwick,3,JUNGLE,50.36,3.07,0.54
122,123,Yorick,3,TOP,50.32,2.09,1.63
123,124,Rell,3,SUPPORT,50.23,3.13,2.26
124,125,Swain,3,SUPPORT,50.22,2.87,1.13
125,126,Pantheon,3,MID,50.20,2.14,0.60
126,127,Irelia,3,TOP,50.16,4.38,6.80
127,128,Sett,3,TOP,50.15,4.23,0.92
128,129,Gnar,3,TOP,50.13,2.77,0.55
129,130,Teemo,3,TOP,50.02,3.76,4.62
130,131,Kha'Zix,3,JUNGLE,50.00,4.58,0.97
131,132,Zoe,3,MID,49.84,1.99,0.66
132,133,Jinx,3,ADC,49.80,10.66,1.23
133,134,Mordekaiser,3,TOP,49.76,3.01,1.06
134,135,Riven,3,TOP,49.67,4.15,0.69
135,136,Gangplank,3,TOP,49.60,3.34,2.47
136,137,Kayn,3,JUNGLE,49.52,6.18,1.43
137,138,Varus,3,ADC,49.48,12.18,3.52
138,139,Jayce,3,MID,49.46,3.18,1.16
139,140,Renekton,3,TOP,49.46,3.88,3.18
140,141,Lux,3,MID,49.41,2.11,1.39
141,142,Master Yi,3,JUNGLE,49.33,5.99,5.42
142,143,Karma,3,SUPPORT,48.86,6.29,2.39
143,144,Sylas,3,JUNGLE,48.81,5.68,10.02
144,145,Jayce,3,TOP,48.78,7.15,2.61
145,146,Ashe,3,SUPPORT,48.72,5.89,3.24
146,147,LeBlanc,3,MID,48.64,5.75,12.85
147,148,Azir,3,MID,48.17,3.99,0.79
148,149,Yone,3,TOP,47.70,10.78,14.67
149,150,Taric,4,SUPPORT,52.68,0.63,0.07
150,151,Fiddlesticks,4,SUPPORT,52.22,0.68,0.21
151,152,Taliyah,4,MID,51.87,0.53,0.29
152,153,Kog'Maw,4,ADC,51.71,0.80,0.11
153,154,Renekton,4,MID,51.35,0.66,0.54
154,155,Nilah,4,ADC,51.31,0.99,1.07
155,156,LeBlanc,4,SUPPORT,51.17,1.04,2.32
156,157,Twitch,4,ADC,51.17,1.77,0.48
157,158,Udyr,4,TOP,51.09,0.63,0.09
158,159,Yasuo,4,ADC,51.05,1.43,1.58
159,160,Amumu,4,SUPPORT,50.90,1.10,0.08
160,161,Teemo,4,SUPPORT,50.64,0.82,1.01
161,162,Gangplank,4,MID,50.62,0.53,0.39
162,163,Vel'Koz,4,SUPPORT,50.57,1.56,0.13
163,164,Tristana,4,MID,50.28,0.73,0.13
164,165,Sivir,4,ADC,50.26,3.36,1.39
165,166,Corki,4,MID,50.21,0.82,0.04
166,167,Nunu & Willump,4,MID,50.20,0.64,0.12
167,168,Teemo,4,JUNGLE,50.20,1.37,1.68
168,169,Sona,4,SUPPORT,50.13,1.24,0.03
169,170,Draven,4,ADC,50.05,3.07,3.04
170,171,Heimerdinger,4,TOP,50.01,0.76,0.51
171,172,Morgana,4,MID,49.92,0.68,1.13
172,173,Shen,4,TOP,49.90,1.35,0.09
173,174,Gragas,4,JUNGLE,49.83,2.80,0.31
174,175,Zed,4,TOP,49.73,0.65,1.87
175,176,Kalista,4,ADC,49.61,4.29,3.53
176,177,Xin Zhao,4,JUNGLE,49.59,2.32,0.21
177,178,Nami,4,SUPPORT,49.58,2.52,0.15
178,179,Amumu,4,JUNGLE,49.56,2.46,0.18
179,180,Qiyana,4,MID,49.52,1.16,0.13
180,181,Ryze,4,TOP,49.44,0.56,0.08
181,182,Kennen,4,TOP,49.35,1.92,0.73
182,183,Vladimir,4,TOP,49.34,0.80,0.14
183,184,Sejuani,4,JUNGLE,49.30,2.53,0.21
184,185,Nunu & Willump,4,JUNGLE,49.30,2.16,0.40
185,186,Pantheon,4,TOP,49.26,1.64,0.46
186,187,Diana,4,JUNGLE,49.14,3.10,0.22
187,188,Cho'Gath,4,TOP,49.13,0.84,0.05
188,189,Sion,4,TOP,49.12,1.92,0.15
189,190,Kindred,4,JUNGLE,49.02,2.34,0.87
190,191,Gwen,4,TOP,48.99,3.15,0.95
191,192,Vi,4,JUNGLE,48.95,4.60,0.80
192,193,Xayah,4,ADC,48.92,8.07,3.41
193,194,Tryndamere,4,TOP,48.87,2.18,1.28
194,195,Ryze,4,MID,48.85,1.37,0.19
195,196,Viego,4,JUNGLE,48.84,6.31,0.78
