,top,name,tier,position,winRate,pickRate,banRate
0,1,Trundle,0,TOP,52.95,17.55,30.94
1,2,Swain,1,ADC,56.11,0.68,0.35
2,3,Ziggs,1,ADC,53.58,2.85,3.00
3,4,Fizz,1,MID,53.30,4.23,4.32
4,5,Rammus,1,JUNGLE,53.30,4.85,9.15
5,6,Xerath,1,SUPPORT,53.27,9.32,24.67
6,7,Xerath,1,MID,52.95,3.10,7.64
7,8,Briar,1,JUNGLE,52.85,7.31,17.92
8,9,Garen,1,TOP,52.76,6.71,2.74
9,10,Nocturne,1,JUNGLE,52.47,14.05,22.73
10,11,Nasus,1,TOP,52.46,6.25,4.33
11,12,Irelia,1,MID,52.24,5.08,8.53
12,13,Blitzcrank,1,SUPPORT,52.02,11.91,54.02
13,14,Trundle,1,JUNGLE,51.96,3.97,7.05
14,15,Jhin,1,ADC,51.86,12.63,3.07
15,16,Sylas,1,MID,51.23,13.54,20.99
16,17,Graves,1,JUNGLE,51.19,10.87,10.34
17,18,Akali,1,MID,51.03,14.23,12.18
18,19,Ezreal,1,ADC,50.41,28.95,20.09
19,20,Yone,1,MID,50.31,19.41,20.67
20,21,Yasuo,1,MID,50.17,14.45,15.64
21,22,Singed,2,TOP,54.02,0.96,0.28
22,23,Zyra,2,SUPPORT,53.76,4.34,3.07
23,24,Zac,2,TOP,53.38,0.71,0.17
24,25,Brand,2,JUNGLE,53.17,1.78,0.73
25,26,Brand,2,SUPPORT,53.12,4.03,1.78
26,27,Ornn,2,TOP,53.09,2.64,0.55
27,28,Malzahar,2,MID,52.96,2.29,1.44
28,29,Kayle,2,TOP,52.52,2.32,0.67
29,30,Leona,2,SUPPORT,52.41,8.05,7.01
30,31,Shyvana,2,JUNGLE,52.39,2.26,0.34
31,32,Yorick,2,TOP,52.18,2.64,2.27
32,33,Veigar,2,MID,52.16,3.40,0.78
33,34,Dr. Mundo,2,TOP,52.06,2.61,0.61
34,35,Fiora,2,TOP,52.05,4.27,6.10
35,36,Teemo,2,JUNGLE,51.97,2.38,3.24
36,37,Volibear,2,TOP,51.64,3.54,1.20
37,38,Warwick,2,JUNGLE,51.56,4.81,1.19
38,39,Morgana,2,SUPPORT,51.56,9.89,13.27
39,40,Vex,2,MID,51.46,5.45,5.42
