,top,name,tier,position,winRate,pickRate,banRate
0,1,Akshan,1,MID,53.91,3.82,8.49
1,2,Talon,1,MID,53.68,4.99,3.49
2,3,Olaf,1,TOP,53.29,2.16,1.14
3,4,Ziggs,1,ADC,53.26,2.74,5.94
4,5,Poppy,1,TOP,53.16,2.42,3.50
5,6,Ivern,1,JUNGLE,52.92,2.81,2.18
6,7,Karthus,1,JUNGLE,52.83,4.78,12.49
7,8,Taliyah,1,JUNGLE,51.89,7.56,8.32
8,9,Rakan,1,SUPPORT,51.88,15.54,15.39
9,10,Blitzcrank,1,SUPPORT,51.49,13.06,64.60
10,11,Lucian,1,ADC,51.40,26.93,17.54
11,12,Pyke,1,SUPPORT,51.26,8.43,17.89
12,13,Jax,1,TOP,50.97,13.42,27.51
13,14,Ezreal,1,ADC,50.93,31.32,21.45
14,15,Thresh,1,SUPPORT,50.58,14.74,4.83
15,16,Sylas,1,MID,50.42,13.62,23.74
16,17,Lee Sin,1,JUNGLE,49.77,31.84,30.87
17,18,Yone,1,MID,48.99,10.82,19.58
18,19,Orianna,1,MID,48.96,14.49,30.52
19,20,Swain,2,ADC,54.16,0.68,0.11
20,21,Maokai,2,SUPPORT,53.26,2.01,0.23
21,22,Warwick,2,TOP,53.15,1.23,0.16
22,23,Rengar,2,TOP,53.04,1.83,0.87
23,24,Quinn,2,TOP,52.84,1.41,1.46
24,25,Singed,2,TOP,52.81,1.59,0.26
25,26,Anivia,2,MID,52.72,2.36,1.11
26,27,Kayle,2,TOP,52.58,1.74,0.51
27,28,Galio,2,MID,52.32,3.20,0.25
28,29,Evelynn,2,JUNGLE,52.15,3.05,2.21
29,30,Bard,2,SUPPORT,52.10,4.94,0.44
30,31,Fiddlesticks,2,JUNGLE,52.03,2.33,1.04
31,32,Zoe,2,MID,52.02,3.03,1.36
32,33,Neeko,2,SUPPORT,51.86,2.82,4.49
33,34,Lissandra,2,MID,51.72,3.42,0.46
34,35,Neeko,2,MID,51.62,3.52,5.66
35,36,Camille,2,TOP,51.55,4.69,0.69
36,37,Draven,2,ADC,51.31,4.94,8.98
37,38,Zyra,2,SUPPORT,51.29,3.51,1.86
38,39,Brand,2,JUNGLE,51.26,2.28,0.33
39,40,Katarina,2,MID,51.23,3.93,1.39
40,41,Rek'Sai,2,JUNGLE,51.13,2.37,2.73
41,42,Twisted Fate,2,MID,51.11,5.33,0.33
42,43,Rell,2,SUPPORT,51.09,5.10,4.77
43,44,Darius,2,TOP,51.09,5.47,9.82
44,45,Elise,2,JUNGLE,51.04,3.76,5.03
45,46,Gragas,2,JUNGLE,51.03,4.12,0.40
46,47,Leona,2,SUPPORT,50.96,6.36,2.14
47,48,Shaco,2,JUNGLE,50.95,3.81,13.39
48,49,Ashe,2,ADC,50.95,6.50,5.16
