,top,name,tier,position,winRate,pickRate,banRate
0,1,Ivern,1,JUNGLE,53.61,1.47,1.26
1,2,Quinn,1,TOP,53.51,1.44,1.87
2,3,Singed,1,TOP,53.18,1.46,0.25
3,4,Zac,1,TOP,53.12,1.54,0.28
4,5,Poppy,1,TOP,53.04,1.88,2.14
5,6,Talon,1,MID,52.83,5.21,3.32
6,7,Fiddlesticks,1,JUNGLE,52.65,2.56,0.99
7,8,Rakan,1,SUPPORT,52.43,12.39,11.82
8,9,Rammus,1,JUNGLE,52.26,3.06,4.55
9,10,Blitzcrank,1,SUPPORT,52.18,13.28,62.88
10,11,Nasus,1,TOP,51.92,3.92,2.47
11,12,Malphite,1,TOP,51.88,5.58,7.69
12,13,Xerath,1,SUPPORT,51.80,9.14,15.54
13,14,Darius,1,TOP,51.73,5.82,11.81
14,15,Shaco,1,JUNGLE,51.52,4.72,22.07
15,16,Nocturne,1,JUNGLE,51.51,10.57,20.58
16,17,Ezreal,1,ADC,51.49,31.79,20.50
17,18,Sylas,1,MID,51.45,13.61,25.89
18,19,Lucian,1,ADC,51.43,23.28,11.95
19,20,Briar,1,JUNGLE,51.32,6.92,23.53
20,21,Jhin,1,ADC,51.26,16.76,1.77
21,22,Fiora,1,TOP,51.25,6.40,10.54
22,23,Jax,1,TOP,50.54,12.68,24.74
23,24,Akali,1,MID,50.50,12.04,13.00
24,25,Graves,1,JUNGLE,50.32,19.12,25.11
25,26,Aatrox,1,TOP,49.99,17.93,12.95
26,27,Trundle,1,TOP,49.98,11.93,40.13
27,28,Lee Sin,1,JUNGLE,49.61,29.43,26.71
28,29,Singed,2,MID,56.46,0.54,0.09
29,30,Swain,2,ADC,54.62,0.67,0.16
30,31,Neeko,2,MID,53.25,3.07,3.98
31,32,Akshan,2,MID,52.78,2.67,4.52
32,33,Zyra,2,SUPPORT,52.73,4.72,3.55
33,34,Olaf,2,TOP,52.64,1.67,0.87
34,35,Maokai,2,TOP,52.60,1.10,0.12
35,36,Kled,2,TOP,52.26,1.18,0.31
36,37,Ziggs,2,ADC,52.14,2.95,5.79
37,38,Vex,2,MID,52.10,4.10,3.58
38,39,Rek'Sai,2,JUNGLE,52.05,1.77,1.83
39,40,Bard,2,SUPPORT,52.02,3.47,0.23
40,41,Twisted Fate,2,MID,51.80,4.87,0.31
41,42,Leona,2,SUPPORT,51.78,6.68,3.56
42,43,Ornn,2,TOP,51.75,2.69,0.19
43,44,Xerath,2,MID,51.73,4.35,7.61
44,45,Evelynn,2,JUNGLE,51.73,3.04,2.34
45,46,Janna,2,SUPPORT,51.63,3.85,0.82
46,47,Kayle,2,TOP,51.56,2.09,0.66
47,48,Garen,2,TOP,51.42,4.08,1.48
48,49,Jax,2,JUNGLE,51.39,1.56,3.09
49,50,Nunu & Willump,2,JUNGLE,51.31,1.75,0.27
50,51,Brand,2,JUNGLE,51.30,2.42,0.47
51,52,Karthus,2,JUNGLE,51.23,3.42,3.81
52,53,Gragas,2,JUNGLE,51.11,3.62,0.35
53,54,Camille,2,TOP,51.11,4.01,0.72
54,55,Maokai,2,JUNGLE,51.08,2.52,0.28
55,56,Volibear,2,TOP,51.06,3.79,0.97
56,57,Illaoi,2,TOP,51.01,3.74,7.17
57,58,Pyke,2,SUPPORT,50.98,7.46,11.31
58,59,Elise,2,JUNGLE,50.97,3.27,3.56
59,60,Poppy,2,JUNGLE,50.91,4.30,5.00
60,61,Irelia,2,MID,50.90,5.32,7.58
61,62,Gnar,2,TOP,50.82,3.52,0.58
62,63,Ashe,2,ADC,50.78,7.84,5.18
63,64,Senna,2,SUPPORT,50.73,8.58,8.40
64,65,Zac,2,JUNGLE,50.69,3.73,0.69
65,66,Talon,2,JUNGLE,50.68,3.45,2.21
66,67,Taliyah,2,JUNGLE,50.67,5.04,2.93
67,68,Renekton,2,TOP,50.62,4.17,3.43
68,69,Irelia,2,TOP,50.62,5.07,7.12
69,70,Vayne,2,ADC,50.59,5.07,2.59
70,71,Kha'Zix,2,JUNGLE,50.53,5.04,1.00
71,72,Ahri,2,MID,50.52,6.95,0.87
72,73,Bel'Veth,2,JUNGLE,50.51,4.05,1.87
73,74,Alistar,2,SUPPORT,50.48,6.05,3.27
74,75,Thresh,2,SUPPORT,50.42,14.47,5.37
75,76,Jinx,2,ADC,50.29,9.14,0.60
76,77,Ekko,2,JUNGLE,50.22,5.76,1.02
77,78,Yasuo,2,MID,49.96,8.88,9.95
78,79,Samira,2,ADC,49.94,9.14,16.35
79,80,Nautilus,2,SUPPORT,49.59,11.20,18.77
80,81,Caitlyn,2,ADC,49.48,14.27,5.82
81,82,Varus,2,ADC,49.08,13.65,4.34
82,83,Yone,2,MID,48.87,12.07,20.37
83,84,Orianna,2,MID,48.73,13.65,24.09
84,85,Taric,3,SUPPORT,53.38,0.75,0.05
85,86,Maokai,3,SUPPORT,52.77,1.69,0.18
86,87,Anivia,3,MID,52.75,1.94,0.84
87,88,Galio,3,MID,52.60,2.44,0.25
88,89,Cassiopeia,3,TOP,52.51,0.51,0.16
89,90,Kog'Maw,3,ADC,52.38,0.74,0.06
90,91,Zilean,3,SUPPORT,52.10,2.01,0.26
91,92,Warwick,3,TOP,52.02,1.13,0.12
92,93,Rengar,3,TOP,51.75,1.43,0.37
93,94,Fizz,3,MID,51.51,4.04,3.42
94,95,Lissandra,3,MID,51.40,2.97,0.63
95,96,Katarina,3,MID,51.29,4.05,1.40
96,97,Twitch,3,ADC,51.22,1.77,0.30
97,98,Braum,3,SUPPORT,51.19,2.77,0.28
98,99,Shaco,3,SUPPORT,51.12,1.86,8.39
99,100,Neeko,3,SUPPORT,51.06,2.74,3.46
100,101,Brand,3,SUPPORT,50.94,2.19,0.41
101,102,Viktor,3,MID,50.78,3.94,1.08
102,103,Warwick,3,JUNGLE,50.71,2.05,0.23
103,104,Renata Glasc,3,SUPPORT,50.58,3.41,1.40
104,105,Dr. Mundo,3,TOP,50.54,1.85,0.15
105,106,Miss Fortune,3,ADC,50.54,4.19,0.35
106,107,Sett,3,TOP,50.52,2.97,0.35
107,108,Milio,3,SUPPORT,50.30,5.85,1.31
108,109,Draven,3,ADC,50.19,3.82,3.53
109,110,Soraka,3,SUPPORT,50.16,3.63,0.24
110,111,Rell,3,SUPPORT,50.12,3.64,3.05
111,112,Riven,3,TOP,50.03,5.07,0.91
112,113,Kalista,3,ADC,49.87,4.99,4.22
113,114,Sivir,3,ADC,49.82,3.50,1.50
114,115,Gwen,3,TOP,49.82,3.28,0.87
115,116,Kayn,3,JUNGLE,49.71,4.79,0.78
116,117,K'Sante,3,TOP,49.54,5.31,3.53
117,118,Morgana,3,SUPPORT,49.47,4.74,10.00
118,119,Master Yi,3,JUNGLE,49.47,3.89,1.98
119,120,Nidalee,3,JUNGLE,49.47,7.28,5.75
120,121,Zed,3,MID,49.43,6.25,16.21
121,122,Lux,3,SUPPORT,49.29,7.34,1.92
122,123,Syndra,3,MID,49.28,9.16,6.87
123,124,Xayah,3,ADC,49.20,9.15,4.00
124,125,Ashe,3,SUPPORT,49.03,6.52,4.16
125,126,LeBlanc,3,MID,48.91,6.13,12.30
126,127,Jarvan IV,3,JUNGLE,48.81,7.30,2.90
127,128,Karma,3,SUPPORT,48.67,8.36,3.54
128,129,Jayce,3,TOP,48.55,9.38,3.61
129,130,Sylas,3,JUNGLE,48.55,4.69,8.96
130,131,Kai'Sa,3,ADC,47.85,20.99,1.79
131,132,Yone,3,TOP,47.49,10.33,17.18
132,133,Swain,4,MID,52.83,0.71,0.17
133,134,Poppy,4,SUPPORT,52.76,0.59,0.66
