,top,name,tier,position,winRate,pickRate,banRate
0,1,Trundle,0,TOP,51.30,16.02,40.15
1,2,Swain,1,ADC,56.08,0.70,0.29
2,3,Singed,1,TOP,54.28,1.24,0.27
3,4,Zyra,1,SUPPORT,53.90,5.36,3.93
4,5,Xerath,1,MID,52.98,3.78,9.15
5,6,Talon,1,MID,52.57,4.84,2.55
6,7,Xerath,1,SUPPORT,52.56,10.21,23.39
7,8,Ornn,1,TOP,52.49,2.83,0.34
8,9,Nasus,1,TOP,52.46,5.29,3.68
9,10,Briar,1,JUNGLE,52.46,7.62,23.67
10,11,Fizz,1,MID,52.44,4.66,4.37
11,12,Nocturne,1,JUNGLE,52.42,13.15,24.31
12,13,Fiora,1,TOP,52.24,5.59,8.17
13,14,Irelia,1,MID,51.95,5.33,8.64
14,15,Garen,1,TOP,51.91,5.31,2.22
15,16,Blitzcrank,1,SUPPORT,51.86,12.49,58.34
16,17,Rakan,1,SUPPORT,51.80,9.63,7.27
17,18,Jhin,1,ADC,51.60,15.56,2.48
18,19,Malphite,1,TOP,51.33,6.84,7.32
19,20,Sylas,1,MID,51.15,13.68,24.99
20,21,Graves,1,JUNGLE,50.99,16.02,16.41
21,22,Ezreal,1,ADC,50.92,32.26,19.53
22,23,Akali,1,MID,50.43,12.75,12.29
23,24,Jax,1,TOP,50.41,11.88,21.03
24,25,Aatrox,1,TOP,49.91,14.45,12.82
25,26,Yone,1,MID,49.51,15.05,20.41
26,27,Naafiri,2,MID,54.06,1.13,2.12
27,28,Zac,2,TOP,53.65,1.03,0.23
28,29,Maokai,2,TOP,53.48,0.82,0.10
29,30,Maokai,2,SUPPORT,52.73,1.62,0.18
30,31,Rammus,2,JUNGLE,52.57,3.96,6.94
31,32,Shaco,2,SUPPORT,52.50,1.84,9.31
32,33,Brand,2,JUNGLE,52.48,2.30,0.72
33,34,Quinn,2,TOP,52.44,1.56,2.35
34,35,Veigar,2,MID,52.31,2.64,0.39
35,36,Ziggs,2,ADC,52.22,2.98,4.22
36,37,Malzahar,2,MID,52.09,2.64,1.26
37,38,Kayle,2,TOP,52.00,2.19,0.63
38,39,Viktor,2,MID,51.93,3.13,1.16
39,40,Fiddlesticks,2,JUNGLE,51.82,2.34,0.65
40,41,Neeko,2,MID,51.81,2.61,2.69
41,42,Lillia,2,JUNGLE,51.79,2.16,0.37
