,top,name,tier,position,winRate,pickRate,banRate
0,1,Ezreal,0,ADC,51.23,29.77,18.52
1,2,Lee Sin,0,JUNGLE,50.12,32.19,33.30
2,3,Orianna,0,MID,49.64,15.48,38.11
3,4,Jax,1,TOP,52.40,14.41,32.33
4,5,Rakan,1,SUPPORT,52.25,18.79,15.62
5,6,Lucian,1,ADC,51.26,24.95,14.05
6,7,Sylas,1,MID,51.16,13.31,16.65
7,8,Blitzcrank,1,SUPPORT,50.84,12.70,52.50
8,9,Graves,1,JUNGLE,50.43,21.58,32.75
9,10,Yone,1,MID,50.39,11.08,18.59
10,11,Akali,1,MID,50.11,12.73,13.60
11,12,Aatrox,1,TOP,48.23,17.19,9.80
12,13,Taliyah,2,JUNGLE,52.53,9.93,13.65
13,14,Nidalee,2,JUNGLE,51.83,11.39,24.99
14,15,Thresh,2,SUPPORT,50.22,12.44,3.12
15,16,Varus,2,ADC,49.45,21.18,9.99
16,17,Nautilus,2,SUPPORT,49.30,14.25,12.06
17,18,Kai'Sa,2,ADC,48.93,21.45,1.76
18,19,Jayce,2,TOP,48.73,12.60,6.49
19,20,Yone,2,TOP,47.85,9.29,15.52
20,21,Hwei,2,MID,42.94,9.17,23.30
21,22,Akshan,3,MID,53.27,5.73,10.78
22,23,Neeko,3,MID,53.14,5.08,7.52
23,24,Rell,3,SUPPORT,52.73,8.54,7.19
24,25,Talon,3,MID,52.19,4.87,3.01
25,26,Senna,3,SUPPORT,51.91,8.78,5.22
26,27,Twisted Fate,3,MID,51.88,5.87,0.50
27,28,Fiora,3,TOP,51.58,6.74,13.91
28,29,Renekton,3,TOP,51.52,6.98,5.77
29,30,Yasuo,3,MID,51.30,7.35,8.46
30,31,Bel'Veth,3,JUNGLE,51.20,8.05,8.73
31,32,K'Sante,3,TOP,51.16,9.56,3.06
32,33,Kalista,3,ADC,51.05,11.16,32.49
33,34,Rumble,3,TOP,50.91,5.58,10.45
34,35,Pyke,3,SUPPORT,50.66,9.53,24.46
35,36,Ashe,3,SUPPORT,50.27,8.81,12.91
36,37,Jhin,3,ADC,49.86,12.76,0.38
