,top,name,tier,position,winRate,pickRate,banRate
0,1,Sylas,0,MID,51.47,13.59,25.84
1,2,Swain,1,ADC,56.15,0.64,0.22
2,3,Zyra,1,SUPPORT,53.27,5.13,3.95
3,4,Xerath,1,MID,53.03,4.10,8.72
4,5,Talon,1,MID,52.88,4.91,2.77
5,6,Nasus,1,TOP,52.78,4.55,3.13
6,7,Nocturne,1,JUNGLE,52.60,12.29,23.52
7,8,Rakan,1,SUPPORT,52.58,10.88,9.21
8,9,Xerath,1,SUPPORT,52.52,9.95,20.92
9,10,Briar,1,JUNGLE,52.31,7.49,24.92
10,11,Blitzcrank,1,SUPPORT,52.23,12.83,60.18
11,12,Ezreal,1,ADC,51.21,32.25,19.69
12,13,Trundle,1,TOP,50.88,14.06,41.26
13,14,Akali,1,MID,50.78,12.37,12.44
14,15,Jax,1,TOP,50.73,12.40,22.83
15,16,Yone,1,MID,49.52,13.44,20.28
16,17,Naafiri,2,MID,54.24,1.04,1.92
17,18,Anivia,2,MID,54.16,1.63,0.72
18,19,Ivern,2,JUNGLE,53.79,1.05,0.77
19,20,Singed,2,TOP,53.72,1.32,0.25
20,21,Maokai,2,TOP,53.31,0.97,0.10
21,22,Quinn,2,TOP,53.21,1.51,2.22
22,23,Neeko,2,MID,53.20,2.79,3.06
23,24,Akshan,2,MID,53.14,1.95,2.67
24,25,Poppy,2,TOP,53.14,1.50,1.31
25,26,Rammus,2,JUNGLE,52.95,3.53,5.84
26,27,Ziggs,2,ADC,52.70,2.97,5.02
27,28,Kayle,2,TOP,52.61,2.15,0.64
28,29,Olaf,2,TOP,52.56,1.46,0.74
29,30,Fiddlesticks,2,JUNGLE,52.55,2.55,0.82
30,31,Ornn,2,TOP,52.51,2.94,0.27
31,32,Evelynn,2,JUNGLE,52.38,3.11,2.24
32,33,Fizz,2,MID,52.18,4.49,4.00
33,34,Galio,2,MID,52.15,2.17,0.26
34,35,Malzahar,2,MID,52.09,2.64,1.03
35,36,Brand,2,JUNGLE,52.06,2.55,0.60
36,37,Illaoi,2,TOP,51.91,4.20,8.45
37,38,Volibear,2,TOP,51.86,3.58,1.00
38,39,Elise,2,JUNGLE,51.84,2.81,2.76
39,40,Vex,2,MID,51.81,4.61,3.92
40,41,Leona,2,SUPPORT,51.68,7.02,4.76
41,42,Malphite,2,TOP,51.68,6.30,7.70
42,43,Twisted Fate,2,MID,51.64,3.93,0.24
43,44,Darius,2,TOP,51.62,6.08,12.91
44,45,Jhin,2,ADC,51.57,16.61,2.18
45,46,Garen,2,TOP,51.55,4.65,1.89
46,47,Irelia,2,MID,51.55,5.17,8.23
47,48,Shaco,2,JUNGLE,51.53,5.41,27.27
48,49,Fiora,2,TOP,51.44,6.01,9.34
49,50,Viktor,2,MID,51.40,3.66,1.21
50,51,Camille,2,TOP,51.37,3.49,0.72
51,52,Katarina,2,MID,51.36,3.79,1.37
52,53,Ashe,2,ADC,51.18,9.06,5.03
53,54,Pyke,2,SUPPORT,51.11,6.54,9.25
54,55,Lucian,2,ADC,51.08,19.57,8.74
55,56,Graves,2,JUNGLE,50.88,17.63,20.10
56,57,Senna,2,SUPPORT,50.75,8.28,7.25
57,58,Thresh,2,SUPPORT,50.31,13.11,5.31
58,59,Aatrox,2,TOP,50.04,16.08,13.30
59,60,Ahri,2,MID,50.02,7.52,1.17
60,61,Yasuo,2,MID,49.97,9.58,10.75
61,62,Lux,2,SUPPORT,49.87,10.11,4.44
62,63,Nautilus,2,SUPPORT,49.74,10.93,18.67
63,64,Syndra,2,MID,49.69,8.66,6.81
64,65,Zed,2,MID,49.58,6.34,18.21
65,66,Lee Sin,2,JUNGLE,49.57,26.39,24.93
66,67,Orianna,2,MID,48.94,13.32,20.79
67,68,Maokai,3,SUPPORT,53.34,1.63,0.17
68,69,Swain,3,MID,53.02,0.75,0.25
69,70,Warwick,3,TOP,52.52,1.06,0.13
70,71,Kassadin,3,MID,52.51,1.23,0.29
71,72,Taliyah,3,MID,52.38,0.56,0.21
72,73,Rumble,3,MID,52.35,1.03,0.61
73,74,Diana,3,MID,52.24,1.55,0.09
74,75,Braum,3,SUPPORT,52.23,2.25,0.24
75,76,Brand,3,MID,52.18,1.00,0.23
76,77,Shaco,3,SUPPORT,52.14,1.88,9.28
77,78,Malphite,3,MID,52.12,1.13,1.38
78,79,Udyr,3,TOP,52.00,0.65,0.08
79,80,Cassiopeia,3,MID,52.00,1.35,0.50
80,81,Janna,3,SUPPORT,51.97,3.31,0.54
81,82,Bard,3,SUPPORT,51.93,2.60,0.18
82,83,Tahm Kench,3,TOP,51.89,1.68,0.26
83,84,Neeko,3,SUPPORT,51.89,2.98,3.23
84,85,Veigar,3,MID,51.80,2.14,0.25
85,86,Rek'Sai,3,JUNGLE,51.77,1.26,1.23
86,87,Warwick,3,JUNGLE,51.67,2.41,0.30
87,88,Brand,3,SUPPORT,51.64,3.05,0.70
88,89,Aurelion Sol,3,MID,51.63,1.09,0.13
89,90,Vayne,3,TOP,51.58,1.83,1.00
90,91,Miss Fortune,3,ADC,51.49,5.70,0.67
91,92,Pantheon,3,MID,51.48,1.69,0.46
92,93,Karthus,3,JUNGLE,51.40,2.93,1.80
93,94,Milio,3,SUPPORT,51.38,4.56,1.00
94,95,Lillia,3,JUNGLE,51.35,2.09,0.34
95,96,Dr. Mundo,3,TOP,51.34,1.85,0.22
96,97,Zac,3,TOP,51.31,1.25,0.26
97,98,Ekko,3,MID,51.26,2.40,0.48
98,99,Kled,3,TOP,51.23,1.10,0.28
99,100,Lissandra,3,MID,51.21,2.77,0.58
100,101,Maokai,3,JUNGLE,51.17,2.67,0.28
101,102,Jax,3,JUNGLE,51.16,1.75,3.25
102,103,Annie,3,MID,51.08,0.93,0.08
103,104,Gnar,3,TOP,51.04,3.11,0.58
104,105,Talon,3,JUNGLE,50.99,2.87,1.63
105,106,Sett,3,TOP,50.99,3.41,0.55
106,107,Shen,3,TOP,50.98,1.39,0.09
107,108,Vayne,3,ADC,50.96,6.30,3.50
108,109,Zac,3,JUNGLE,50.96,4.04,0.84
109,110,Poppy,3,JUNGLE,50.95,4.28,3.78
110,111,Soraka,3,SUPPORT,50.94,3.79,0.28
111,112,Taliyah,3,JUNGLE,50.92,3.70,1.39
112,113,Trundle,3,JUNGLE,50.78,1.36,4.02
113,114,Bel'Veth,3,JUNGLE,50.76,3.33,1.21
114,115,Vladimir,3,MID,50.74,1.60,0.22
115,116,Ekko,3,JUNGLE,50.61,5.94,1.20
116,117,Lux,3,MID,50.57,1.84,0.81
117,118,Kha'Zix,3,JUNGLE,50.56,4.84,0.94
118,119,Alistar,3,SUPPORT,50.47,5.75,3.04
119,120,Samira,3,ADC,50.43,9.68,18.34
120,121,Zoe,3,MID,50.42,1.83,0.51
121,122,Morgana,3,SUPPORT,50.40,6.35,12.30
122,123,Master Yi,3,JUNGLE,50.39,4.66,3.08
123,124,Mordekaiser,3,TOP,50.33,2.57,0.80
124,125,Renekton,3,TOP,50.27,3.80,3.06
125,126,Caitlyn,3,ADC,49.99,16.43,7.24
126,127,Irelia,3,TOP,49.90,4.60,7.30
127,128,Jinx,3,ADC,49.89,10.14,0.86
128,129,Gangplank,3,TOP,49.87,4.00,2.89
129,130,Jayce,3,MID,49.86,3.27,1.08
130,131,Teemo,3,TOP,49.85,3.10,3.42
131,132,Riven,3,TOP,49.82,4.63,0.77
132,133,Varus,3,ADC,49.78,12.53,3.45
133,134,Karma,3,SUPPORT,49.33,7.16,2.77
134,135,LeBlanc,3,MID,48.97,5.91,12.39
135,136,Jayce,3,TOP,48.68,7.73,2.55
136,137,Azir,3,MID,48.68,4.31,0.76
137,138,Yone,3,TOP,47.74,10.69,16.11
138,139,Taric,4,SUPPORT,52.97,0.57,0.06
139,140,Fiddlesticks,4,SUPPORT,52.48,0.72,0.23
140,141,Zac,4,SUPPORT,52.42,0.99,0.20
141,142,Yasuo,4,ADC,51.98,1.07,1.21
142,143,Heimerdinger,4,SUPPORT,51.88,1.34,0.88
143,144,Zilean,4,SUPPORT,51.81,1.89,0.28
144,145,Amumu,4,SUPPORT,51.54,0.93,0.05
145,146,Twitch,4,ADC,51.44,1.71,0.37
146,147,Gangplank,4,MID,51.23,0.59,0.42
147,148,Renekton,4,MID,51.15,0.61,0.49
148,149,Vel'Koz,4,SUPPORT,51.13,1.47,0.10
149,150,Urgot,4,TOP,51.12,1.09,0.10
150,151,Nunu & Willump,4,MID,50.94,0.70,0.11
151,152,Heimerdinger,4,TOP,50.93,0.62,0.42
152,153,Shyvana,4,JUNGLE,50.82,1.37,0.12
153,154,Nunu & Willump,4,JUNGLE,50.79,1.97,0.32
154,155,Sona,4,SUPPORT,50.75,1.10,0.03
155,156,Renata Glasc,4,SUPPORT,50.65,2.90,1.09
156,157,Xin Zhao,4,JUNGLE,50.57,2.16,0.17
157,158,Tahm Kench,4,SUPPORT,50.30,0.77,0.12
158,159,Rell,4,SUPPORT,50.23,3.18,2.39
159,160,Corki,4,MID,50.23,0.93,0.03
160,161,LeBlanc,4,SUPPORT,50.12,1.14,2.38
161,162,Amumu,4,JUNGLE,50.08,1.94,0.10
162,163,Gragas,4,JUNGLE,50.06,2.98,0.32
163,164,Swain,4,SUPPORT,49.96,2.74,0.91
164,165,Sion,4,TOP,49.92,2.13,0.14
165,166,Qiyana,4,MID,49.89,1.13,0.11
166,167,Yorick,4,TOP,49.85,2.05,1.51
167,168,Tristana,4,MID,49.81,0.63,0.07
168,169,Kayn,4,JUNGLE,49.79,5.59,1.05
169,170,Twitch,4,SUPPORT,49.58,0.71,0.15
170,171,Kennen,4,TOP,49.57,2.03,0.66
171,172,Morgana,4,MID,49.43,0.59,1.15
172,173,Tryndamere,4,TOP,49.34,2.00,1.23
173,174,Seraphine,4,SUPPORT,49.32,2.08,0.14
174,175,Xayah,4,ADC,49.28,8.62,3.63
175,176,Jarvan IV,4,JUNGLE,49.26,6.91,2.66
176,177,Nami,4,SUPPORT,49.25,2.76,0.13
177,178,Viego,4,JUNGLE,49.25,6.01,0.67
178,179,Ryze,4,MID,49.24,1.43,0.16
179,180,Vi,4,JUNGLE,49.19,4.82,0.88
180,181,Gwen,4,TOP,49.17,3.26,0.92
181,182,Rumble,4,TOP,49.08,2.79,1.64
