,top,name,tier,position,winRate,pickRate,banRate
0,1,Swain,1,ADC,55.67,0.73,0.34
1,2,Zyra,1,SUPPORT,54.00,5.11,3.58
2,3,Xerath,1,SUPPORT,53.20,10.08,24.61
3,4,Rammus,1,JUNGLE,53.15,4.31,8.07
4,5,Briar,1,JUNGLE,53.05,7.86,21.23
5,6,Xerath,1,MID,52.96,3.55,8.73
6,7,Garen,1,TOP,52.66,5.83,2.52
7,8,Fizz,1,MID,52.55,4.53,4.46
8,9,Nasus,1,TOP,52.19,5.90,4.08
9,10,Nocturne,1,JUNGLE,52.12,13.64,23.82
10,11,Irelia,1,MID,52.02,5.33,8.65
11,12,Trundle,1,TOP,51.65,17.34,36.45
12,13,Blitzcrank,1,SUPPORT,51.53,11.96,56.30
13,14,Sylas,1,MID,51.31,13.44,22.90
14,15,Jhin,1,ADC,51.31,14.28,2.77
15,16,Graves,1,JUNGLE,51.14,13.92,13.04
16,17,Ezreal,1,ADC,50.40,31.30,19.65
17,18,Akali,1,MID,50.23,13.06,12.09
18,19,Yone,1,MID,49.76,16.87,20.54
19,20,Brand,2,JUNGLE,52.84,2.09,0.77
20,21,Ornn,2,TOP,52.70,2.68,0.44
21,22,Malzahar,2,MID,52.68,2.73,1.41
22,23,Ziggs,2,ADC,52.40,3.07,3.68
23,24,Shyvana,2,JUNGLE,52.37,2.14,0.26
24,25,Kayle,2,TOP,52.33,2.28,0.64
25,26,Brand,2,SUPPORT,52.12,3.94,1.43
26,27,Fiora,2,TOP,51.79,5.01,7.07
27,28,Talon,2,MID,51.75,4.70,2.35
28,29,Jax,2,JUNGLE,51.62,2.38,4.00
29,30,Evelynn,2,JUNGLE,51.44,3.12,2.08
30,31,Vex,2,MID,51.25,5.10,4.65
31,32,Leona,2,SUPPORT,51.23,7.65,6.58
32,33,Rakan,2,SUPPORT,51.19,8.38,5.74
33,34,Poppy,2,JUNGLE,51.07,3.71,2.05
34,35,Samira,2,ADC,51.04,10.16,21.23
35,36,Illaoi,2,TOP,50.98,5.29,11.33
36,37,Malphite,2,TOP,50.96,7.17,6.64
37,38,Trundle,2,JUNGLE,50.95,2.74,5.79
38,39,Vayne,2,ADC,50.88,7.92,4.77
39,40,Miss Fortune,2,ADC,50.83,8.99,2.06
40,41,Ashe,2,ADC,50.72,10.49,4.81
41,42,Morgana,2,SUPPORT,50.71,8.59,13.48
42,43,Ekko,2,JUNGLE,50.53,6.15,1.56
43,44,Shaco,2,JUNGLE,50.50,5.87,32.18
44,45,Darius,2,TOP,50.23,6.92,15.54
45,46,Lucian,2,ADC,50.19,15.29,5.67
46,47,Senna,2,SUPPORT,50.18,8.38,4.66
47,48,Thresh,2,SUPPORT,50.18,10.02,4.20
48,49,Jax,2,TOP,50.07,11.12,18.58
49,50,Varus,2,ADC,50.02,10.57,2.54
50,51,Caitlyn,2,ADC,49.93,19.31,9.77
51,52,Jinx,2,ADC,49.83,11.65,1.59
52,53,Aatrox,2,TOP,49.76,13.01,12.40
53,54,Yasuo,2,MID,49.51,12.01,13.54
54,55,Sylas,2,JUNGLE,49.42,6.62,11.37
55,56,Lux,2,SUPPORT,49.35,15.22,12.05
56,57,Lee Sin,2,JUNGLE,48.96,21.89,21.97
57,58,Zac,3,SUPPORT,54.16,0.76,0.17
58,59,Zac,3,TOP,53.38,0.87,0.20
59,60,Naafiri,3,MID,52.75,1.20,2.24
60,61,Ivern,3,JUNGLE,52.75,0.67,0.44
61,62,Singed,3,TOP,52.66,1.10,0.27
62,63,Anivia,3,MID,52.64,1.19,0.45
63,64,Nilah,3,ADC,52.60,1.03,1.04
64,65,Shaco,3,SUPPORT,52.08,1.80,9.70
65,66,Twitch,3,ADC,51.80,1.83,0.57
66,67,Viktor,3,MID,51.79,2.63,1.02
67,68,Milio,3,SUPPORT,51.70,2.46,0.57
68,69,Vayne,3,TOP,51.67,2.34,1.39
69,70,Kog'Maw,3,ADC,51.63,0.90,0.15
70,71,Veigar,3,MID,51.53,2.95,0.56
71,72,Fiddlesticks,3,JUNGLE,51.40,2.19,0.52
72,73,Elise,3,JUNGLE,51.32,1.93,1.53
73,74,Twisted Fate,3,MID,51.29,2.83,0.16
74,75,Yasuo,3,ADC,51.29,1.73,1.98
75,76,Dr. Mundo,3,TOP,51.21,2.15,0.43
76,77,Lillia,3,JUNGLE,51.18,2.13,0.42
77,78,Neeko,3,MID,51.16,2.71,2.49
78,79,Sivir,3,ADC,51.02,3.39,1.36
79,80,Teemo,3,JUNGLE,50.97,1.91,2.53
80,81,Alistar,3,SUPPORT,50.93,4.98,2.59
81,82,Swain,3,SUPPORT,50.86,3.43,1.58
82,83,Talon,3,JUNGLE,50.75,2.36,1.19
83,84,Taliyah,3,JUNGLE,50.66,2.14,0.52
84,85,Soraka,3,SUPPORT,50.65,3.92,0.34
85,86,Volibear,3,TOP,50.61,3.41,1.08
86,87,Karthus,3,JUNGLE,50.59,2.46,0.77
87,88,Neeko,3,SUPPORT,50.54,3.75,3.42
88,89,Teemo,3,TOP,50.36,4.93,6.51
89,90,Xin Zhao,3,JUNGLE,50.34,2.35,0.26
90,91,Katarina,3,MID,50.34,3.54,1.45
91,92,Pyke,3,SUPPORT,50.27,6.23,8.82
92,93,Zac,3,JUNGLE,50.20,3.89,0.91
