gameVersion,summoner_name,summoner_team,summoner_position,summoner_champion,summoner_winFlag,opponent_name,opponent_team,opponent_position,opponent_champion,opponent_winFlag
13.24.547.9214,Hide on bush,red,MIDDLE,Yone,True,SuzySuzySuzySuzy,blue,MIDDLE,Fizz,False
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,False,gtqeti103,blue,MIDDLE,Yone,True
13.24.547.9214,Hide on bush,red,TOP,Sylas,False,CrustaceaOvO,blue,TOP,Jax,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,True,쌩배있으면오픈,red,MIDDLE,Yone,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,False,,red,MIDDLE,Orianna,True
13.24.547.9214,Hide on bush,red,MIDDLE,Azir,True,욕안할래안할래,blue,MIDDLE,Kassadin,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Orianna,True,모든판신고중,red,MIDDLE,Sylas,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Orianna,False,메론뀰맛있어,red,MIDDLE,FiddleSticks,True
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,True,소응춘,blue,MIDDLE,Fizz,False
13.24.547.9214,Hide on bush,red,TOP,Kennen,True,lIIIlllIIIlI,blue,TOP,KSante,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,False,괜찮은 날씨,red,MIDDLE,Orianna,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Leblanc,True,sdawxl,red,MIDDLE,TwistedFate,False
13.24.547.9214,Hide on bush,red,MIDDLE,Gragas,True,깔짝대기,blue,MIDDLE,Hwei,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,True,권문철,red,MIDDLE,TwistedFate,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,False,믹스테이프,red,MIDDLE,Malzahar,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Yone,False,디알엑스 파테,red,MIDDLE,Neeko,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Corki,False,kaiwajueji,red,MIDDLE,Leblanc,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,True,NS Calix,red,MIDDLE,Orianna,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Yone,True,지구멸망인류멸종,red,MIDDLE,Akali,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,True,saved my life,red,MIDDLE,Akali,False
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,True,really luv u,blue,MIDDLE,Azir,False
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,False,c3d6,blue,MIDDLE,Leblanc,True
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,True,엘더우드01,blue,MIDDLE,Azir,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Yone,True,또 훈,red,MIDDLE,Anivia,False
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,True,zxcvxzcvzxcv,blue,MIDDLE,Akshan,False
13.24.547.9214,Hide on bush,red,MIDDLE,Yone,True,Reche7,blue,MIDDLE,Sylas,False
13.24.547.9214,Hide on bush,red,BOTTOM,Ashe,True,도구역해서탑간다,blue,BOTTOM,Varus,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,False,이야공,red,MIDDLE,Diana,True
13.24.547.9214,Hide on bush,red,TOP,Kennen,True,onthdea,blue,TOP,Aatrox,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,False,love hashira,red,MIDDLE,Galio,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Sylas,False,Daystarrr,red,MIDDLE,Akali,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Orianna,True,BARKBOOBARK,red,MIDDLE,Xerath,False
13.24.547.9214,Hide on bush,red,MIDDLE,Hwei,False,탱 녹,blue,MIDDLE,Nocturne,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Akali,False,,red,MIDDLE,Leblanc,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Akali,True,유미룰루잔나소나,red,MIDDLE,TwistedFate,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,True,  밍 뱅,red,MIDDLE,Viego,False
13.24.547.9214,Hide on bush,red,TOP,Aatrox,False,충주갱수,blue,TOP,Kennen,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Hwei,False,타타모,red,MIDDLE,Orianna,True
13.24.547.9214,Hide on bush,blue,MIDDLE,Yone,True,유미룰루잔나소나,red,MIDDLE,TwistedFate,False
13.24.547.9214,Hide on bush,red,MIDDLE,Ezreal,True,Coffee is Moka,blue,MIDDLE,Sylas,False
13.24.547.9214,Hide on bush,blue,MIDDLE,Ahri,True,폭력적인 햄스터,red,MIDDLE,Neeko,False
13.23.544.5515,Hide on bush,blue,MIDDLE,Akali,True,shuiyuanqianhe,red,MIDDLE,Orianna,False
13.23.544.5515,Hide on bush,blue,MIDDLE,Leblanc,False,클리버입니다,red,MIDDLE,Akali,True
13.23.544.5515,Hide on bush,red,MIDDLE,Orianna,False,Damn JG,blue,MIDDLE,Neeko,True
13.23.544.5515,Hide on bush,red,MIDDLE,Orianna,True,ZED99,blue,MIDDLE,Zed,False
13.23.544.5515,Hide on bush,blue,MIDDLE,Zoe,True,항상 집중 노력,red,MIDDLE,Fizz,False
13.23.544.5515,Hide on bush,blue,TOP,Trundle,True,얼밤불밤,red,TOP,Jax,False
13.23.544.5515,Hide on bush,red,MIDDLE,Yone,True,도천지,blue,MIDDLE,Orianna,False
13.23.544.5515,Hide on bush,red,MIDDLE,Sylas,False,완벽한인간,blue,MIDDLE,Cassiopeia,True
13.23.544.5515,Hide on bush,blue,MIDDLE,Yone,True,Claudia Salas X,red,MIDDLE,TwistedFate,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Jayce,False,i kid,red,MIDDLE,Yone,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Sylas,True,LunaLina,red,MIDDLE,Ahri,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Yone,True,엘더우드01,red,MIDDLE,Azir,False
13.22.541.9804,Hide on bush,red,MIDDLE,Taliyah,True,길가다가까까사달라고조르는이도윤,blue,MIDDLE,Akali,False
13.22.541.9804,Hide on bush,red,TOP,Aatrox,True,xianmiaozhun,blue,TOP,Yone,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Syndra,False,gaubeo202,red,MIDDLE,Akali,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Syndra,False,really luv u,red,MIDDLE,Sylas,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Syndra,False,대건고이준석,red,MIDDLE,Malphite,True
13.22.541.9804,Hide on bush,red,MIDDLE,Syndra,False,HAUZ 23,blue,MIDDLE,Taliyah,True
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,coolran,blue,MIDDLE,Jayce,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,False,yycyy,red,MIDDLE,Irelia,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,Seven,red,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,red,MIDDLE,Yone,False,Pizano,blue,MIDDLE,Azir,True
13.22.541.9804,Hide on bush,red,MIDDLE,Syndra,True,피자사줬더니올리브만빼먹는이도윤,blue,MIDDLE,Ziggs,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Yone,True,파찬이,red,MIDDLE,Swain,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,False,Re I Am,red,MIDDLE,Orianna,True
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,huiofios,blue,MIDDLE,Orianna,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Syndra,False,긴장해라쇼메이커,red,MIDDLE,Akali,True
13.22.541.9804,Hide on bush,red,MIDDLE,Yone,True,vchasdqwvg,blue,MIDDLE,Leblanc,False
13.22.541.9804,Hide on bush,blue,TOP,Aatrox,False, HanHuiRan,red,TOP,Jax,True
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,True,nAts2,blue,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Yone,True,nAts2,red,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Orianna,True,xxxxouooo,red,MIDDLE,Neeko,False
13.22.541.9804,Hide on bush,red,MIDDLE,Taliyah,True,Chang Min ,blue,MIDDLE,Cassiopeia,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,페페츄,red,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,페페츄,blue,MIDDLE,Azir,True
13.22.541.9804,Hide on bush,red,MIDDLE,Orianna,True,모래상자,blue,MIDDLE,Azir,False
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,지는건 싫으니깐,blue,MIDDLE,Orianna,True
13.22.541.9804,Hide on bush,red,TOP,Aatrox,False,Burdol2,blue,TOP,Rumble,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Orianna,False,허징어링,red,MIDDLE,Fizz,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Jayce,False,xiao yuan sang,red,MIDDLE,Sylas,True
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,자신감을잃지말자,blue,MIDDLE,Yasuo,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Orianna,True,은가뉴,red,MIDDLE,Yasuo,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,niaf,red,MIDDLE,Poppy,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,False,도천지,red,MIDDLE,Orianna,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,조까안해,red,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Yone,True,승리의 부두술,red,MIDDLE,Akali,False
13.22.541.9804,Hide on bush,red,MIDDLE,Ahri,False,haiyaonuli,blue,MIDDLE,Neeko,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,kaokaokaokaokaoa,red,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Orianna,True,midmId1,red,MIDDLE,Syndra,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,False,토실토실한붕어,red,MIDDLE,Zed,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Orianna,True,긴장해라쇼메이커,red,MIDDLE,Yasuo,False
13.22.541.9804,Hide on bush,red,MIDDLE,Orianna,False,Du bian che,blue,MIDDLE,Akali,True
13.22.541.9804,Hide on bush,red,MIDDLE,Jayce,True,kaokaokaokaokaoa,blue,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,True,모래상자,blue,TOP,KSante,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,BRO Ivory,red,MIDDLE,Orianna,False
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,핑찍으면제발처빼,red,MIDDLE,TwistedFate,False
13.22.541.9804,Hide on bush,red,MIDDLE,Taliyah,False,can i ad plz,blue,MIDDLE,Syndra,True
13.22.541.9804,Hide on bush,red,MIDDLE,Sylas,True,DAV1D G0GGINS,blue,MIDDLE,Vladimir,False
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,gnoeiwngonge,blue,MIDDLE,FiddleSticks,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Sylas,False,yzm3,red,MIDDLE,Yone,True
13.22.541.9804,Hide on bush,blue,JUNGLE,LeeSin,False,Like heisi,red,JUNGLE,Vi,True
13.22.541.9804,Hide on bush,red,MIDDLE,Akali,False,nAts2,blue,MIDDLE,Jayce,True
13.22.541.9804,Hide on bush,blue,MIDDLE,Akali,True,ZE3D,red,MIDDLE,Sylas,False
13.22.541.9804,Hide on bush,red,UTILITY,Renata,False,패치가가장강하다,blue,UTILITY,Blitzcrank,True
13.22.541.1765,Hide on bush,red,MIDDLE,Orianna,False,Talou,blue,MIDDLE,Talon,True
13.21.539.4823,Hide on bush,red,MIDDLE,Yone,True,need time,blue,MIDDLE,Syndra,False
13.21.539.4823,Hide on bush,blue,MIDDLE,Orianna,True,vchasdqwvg,red,MIDDLE,Akali,False
13.21.539.4823,Hide on bush,red,MIDDLE,Yone,True,KT Feisty,blue,MIDDLE,Jayce,False
13.21.539.4823,Hide on bush,blue,JUNGLE,Poppy,False,KDF Courage,red,JUNGLE,Vi,True
13.21.539.4823,Hide on bush,blue,MIDDLE,Akali,False,은가뉴,red,MIDDLE,Yasuo,True
13.21.539.4823,Hide on bush,red,MIDDLE,Sylas,True,Serizawa tamao0o,blue,MIDDLE,Vex,False
13.21.539.4823,Hide on bush,blue,MIDDLE,Akali,False,새하얀 thigh,red,TOP,Poppy,True
13.21.539.4823,Hide on bush,blue,MIDDLE,Azir,True,8806119825136,red,MIDDLE,TwistedFate,False
13.21.539.4823,Hide on bush,red,MIDDLE,Yone,False,Serizawa tamao0o,blue,MIDDLE,Orianna,True
13.21.539.4823,Hide on bush,blue,MIDDLE,Akali,True,은가뉴,red,MIDDLE,Yasuo,False
13.21.539.4823,Hide on bush,blue,MIDDLE,Akali,False,DK absolute,red,UTILITY,Milio,True
