,total,aatrox,diana,gangplank,gnar,gwen,illaoi,irelia,jax,jayce,karma,kennen,ksante,maokai,neeko,poppy,renekton,rumble,sylas,teemo,tryndamere,viego,yone,zac
aatrox,"[1, 4, 25.0, 10.81]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 25.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]"
akali,"[0, 1, 0.0, 2.7]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 25.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
camille,"[1, 1, 100.0, 2.7]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 33.33]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
cassiopeia,"[0, 1, 0.0, 2.7]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
gnar,"[1, 1, 100.0, 2.7]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
gwen,"[1, 1, 100.0, 2.7]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
illaoi,"[1, 1, 100.0, 2.7]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
jax,"[3, 5, 60.0, 13.51]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 50.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
kennen,"[5, 5, 100.0, 13.51]","[1, 1, 100.0, 50.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 25.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]"
ksante,"[2, 4, 50.0, 10.81]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]","[1, 1, 100.0, 50.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
