gameVersion,summoner_name,summoner_team,summoner_position,summoner_champion,summoner_winFlag,opponent_name,opponent_team,opponent_position,opponent_champion,opponent_winFlag
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Zeri,True,felisa,red,BOTTOM,Ziggs,False
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Ezreal,True,아브레,blue,BOTTOM,Lucian,False
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Jhin,True,ToongE,red,BOTTOM,Caitlyn,False
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Zeri,True,윤수아 사랑해,red,BOTTOM,Varus,False
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Ziggs,False,진성빠레,blue,BOTTOM,Varus,True
13.24.547.9214,T1 Gumayusi,blue,JUNGLE,LeeSin,True,jgbaby,red,JUNGLE,Viego,False
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Lucian,True,호시노 로컨,red,BOTTOM,Ezreal,False
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Varus,True,으끄으끄,blue,UTILITY,Nami,False
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Lucian,False,심장부순다,red,BOTTOM,Draven,True
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Lucian,True,17살의 꿈에게,red,BOTTOM,Varus,False
13.24.547.9214,T1 Gumayusi,blue,TOP,Malphite,False,잭장군 이현,red,TOP,Jax,True
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Draven,True,유돗개,red,TOP,Renekton,False
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Varus,True,캬아아시원하다,blue,BOTTOM,Lucian,False
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Kaisa,True,dnqxinjjin7ox,blue,BOTTOM,Lucian,False
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Varus,False,peray,red,BOTTOM,Ziggs,True
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Ezreal,False,ben dan she shou,blue,BOTTOM,Varus,True
13.24.547.9214,T1 Gumayusi,red,BOTTOM,Yasuo,True,피그도그,blue,BOTTOM,Varus,False
13.24.547.9214,T1 Gumayusi,blue,BOTTOM,Kaisa,False,elelelelyy,red,BOTTOM,Jinx,True
