gameVersion,summoner_name,summoner_team,summoner_position,summoner_champion,summoner_winFlag,opponent_name,opponent_team,opponent_position,opponent_champion,opponent_winFlag
13.24.547.9214,역천괴,blue,UTILITY,Karma,True,주니갓,red,UTILITY,Thresh,False
13.24.547.9214,역천괴,blue,MIDDLE,Akali,False,fgggq,red,MIDDLE,Neeko,True
13.24.547.9214,역천괴,red,UTILITY,Ashe,False,리그오브레전드ll,blue,UTILITY,Pyke,True
13.24.547.9214,역천괴,blue,MIDDLE,Irelia,True,명 쫑,red,MIDDLE,Qiyana,False
13.24.547.9214,역천괴,red,JUNGLE,Vi,True,65b08fda7d1a,blue,JUNGLE,Graves,False
13.24.547.9214,역천괴,blue,UTILITY,Ashe,True,진지하게임하다,red,UTILITY,Rell,False
13.24.547.9214,역천괴,red,UTILITY,Lux,False,전대 경영23 지호,blue,UTILITY,Ashe,True
13.24.547.9214,역천괴,blue,BOTTOM,Kalista,False,옆집배씨아저씨,red,BOTTOM,Ashe,True
13.24.547.9214,역천괴,blue,BOTTOM,Caitlyn,False,말박이가능,red,BOTTOM,Lucian,True
13.24.547.9214,역천괴,blue,UTILITY,Caitlyn,True,sdpg,red,UTILITY,Taric,False
13.24.547.9214,역천괴,blue,UTILITY,Hwei,True,jgmm,red,UTILITY,Nautilus,False
13.24.547.9214,역천괴,red,UTILITY,Bard,False,yuq1song,blue,UTILITY,Renata,True
13.24.547.9214,역천괴,blue,UTILITY,Bard,True,삶이 외로운 사람,red,UTILITY,Rengar,False
13.24.547.9214,역천괴,red,UTILITY,Pyke,False,3cm몬스터의 팀원,blue,UTILITY,Rakan,True
13.24.547.9214,역천괴,blue,UTILITY,Hwei,True,Chaliwang,red,UTILITY,Rakan,False
13.24.547.9214,역천괴,blue,UTILITY,Hwei,False,사람답게하자제발,red,UTILITY,Blitzcrank,True
13.24.547.9214,역천괴,blue,UTILITY,Hwei,True,꿀벌 뽀굴이,red,UTILITY,Renata,False
13.24.547.9214,역천괴,red,JUNGLE,Vi,False,theworldoftheSWD,blue,JUNGLE,LeeSin,True
13.24.547.9214,역천괴,blue,UTILITY,Caitlyn,True,hyoj1n,red,UTILITY,Milio,False
13.24.547.9214,역천괴,blue,JUNGLE,LeeSin,False,poiu,red,JUNGLE,Brand,True
13.24.547.9214,역천괴,blue,UTILITY,Bard,True,xiang si de ren,red,UTILITY,Renata,False
13.24.547.9214,역천괴,blue,UTILITY,Bard,True,노우 돈 땃쥐 미,red,UTILITY,Renata,False
13.24.547.9214,역천괴,red,UTILITY,Bard,False,Celna,blue,UTILITY,Rell,True
13.24.547.9214,역천괴,red,UTILITY,Ashe,False,yycyy,blue,UTILITY,Blitzcrank,True
13.24.547.9214,역천괴,red,UTILITY,Bard,True,Kim Sang Hoon,blue,UTILITY,Rell,False
13.24.547.9214,역천괴,red,JUNGLE,LeeSin,False,허락했어요,blue,JUNGLE,Viego,True
13.24.547.9214,역천괴,red,UTILITY,Bard,True,무용하고아름다운,blue,UTILITY,Thresh,False
13.24.547.9214,역천괴,blue,UTILITY,Pyke,True,Wadid,red,UTILITY,Leona,False
13.24.547.9214,역천괴,red,JUNGLE,Vi,False,들개처럼,blue,JUNGLE,Viego,True
13.24.547.9214,역천괴,red,UTILITY,Ashe,True,xxxxlululu,blue,UTILITY,Lux,False
13.24.547.9214,역천괴,red,UTILITY,Renata,True,위러스,blue,UTILITY,Renata,False
13.24.547.9214,역천괴,blue,UTILITY,Bard,True,챠 연,red,UTILITY,Yuumi,False
13.23.544.5515,역천괴,blue,UTILITY,Rakan,True,Deer3,red,UTILITY,Rell,False
13.23.544.5515,역천괴,blue,JUNGLE,JarvanIV,False,수댕삼,red,JUNGLE,Sejuani,True
13.23.544.5515,역천괴,red,JUNGLE,MonkeyKing,True,Focalors333,blue,JUNGLE,Graves,False
13.23.544.5515,역천괴,red,JUNGLE,LeeSin,True,Refuge,blue,JUNGLE,Graves,False
