gameVersion,summoner_name,summoner_team,summoner_position,summoner_champion,summoner_winFlag,opponent_name,opponent_team,opponent_position,opponent_champion,opponent_winFlag
13.24.547.9214,대머리 까까랏,red,TOP,Yone,False,오브크,blue,TOP,Udyr,True
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Brand,False,Reyalp,red,JUNGLE,Nidalee,True
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Brand,True,우치하 홍창현,red,JUNGLE,Graves,False
13.24.547.9214,대머리 까까랏,red,JUNGLE,Khazix,True,자그마한 나의 꿈,blue,JUNGLE,Vi,False
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Talon,False,qweasdcxz,red,JUNGLE,Graves,True
13.24.547.9214,대머리 까까랏,red,TOP,Yone,False,불이과 ,blue,TOP,Darius,True
13.24.547.9214,대머리 까까랏,blue,JUNGLE,LeeSin,True,앙 맛있엉,red,JUNGLE,Graves,False
13.24.547.9214,대머리 까까랏,red,TOP,Jax,True,5leec,blue,TOP,KSante,False
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Ekko,True,나는 멍청이 우우,red,JUNGLE,Brand,False
13.24.547.9214,대머리 까까랏,red,JUNGLE,Kayn,False,felisa,blue,JUNGLE,Brand,True
13.24.547.9214,대머리 까까랏,red,TOP,Yone,False,dikon,blue,TOP,Malphite,True
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Graves,True,,red,JUNGLE,Taliyah,False
13.24.547.9214,대머리 까까랏,blue,TOP,Yone,False,DK Slwoo,red,TOP,Jax,True
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Nocturne,True,felisa,red,JUNGLE,Graves,False
13.24.547.9214,대머리 까까랏,blue,JUNGLE,Talon,True,,red,JUNGLE,Ivern,False
13.24.547.9214,대머리 까까랏,red,JUNGLE,LeeSin,False,DRX 영슌,blue,JUNGLE,Graves,True
13.24.547.9214,대머리 까까랏,blue,TOP,Yone,False,죽림초,red,TOP,Fiora,True
13.24.547.9214,대머리 까까랏,red,JUNGLE,Kaisa,True,탑비주류챔장인,blue,JUNGLE,Kayn,False
13.24.547.9214,대머리 까까랏,blue,JUNGLE,LeeSin,True,lockstar,red,JUNGLE,Kayn,False
13.23.544.5515,대머리 까까랏,blue,JUNGLE,Vi,False,FA Citrus,red,JUNGLE,Talon,True
13.22.541.9804,대머리 까까랏,red,JUNGLE,MonkeyKing,True,DK Sharvel,blue,JUNGLE,JarvanIV,False
13.22.541.9804,대머리 까까랏,blue,JUNGLE,Karthus,False,BRO Raptor,red,JUNGLE,LeeSin,True
13.22.541.9804,대머리 까까랏,blue,JUNGLE,MonkeyKing,True,GCA NoRoo,red,JUNGLE,Ivern,False
13.22.541.9804,대머리 까까랏,blue,JUNGLE,MonkeyKing,True,모모Agurin,red,JUNGLE,Nocturne,False
13.22.541.9804,대머리 까까랏,blue,JUNGLE,MonkeyKing,True,Ado3,red,JUNGLE,JarvanIV,False
13.22.541.9804,대머리 까까랏,red,JUNGLE,MonkeyKing,True,모모Agurin,blue,JUNGLE,Nocturne,False
13.22.541.9804,대머리 까까랏,red,JUNGLE,MonkeyKing,True,flora k1ng,blue,JUNGLE,JarvanIV,False
13.22.541.9804,대머리 까까랏,blue,JUNGLE,MonkeyKing,True,독기품기,red,JUNGLE,Rell,False
13.22.541.9804,대머리 까까랏,blue,JUNGLE,LeeSin,True,DK Lucid,red,JUNGLE,JarvanIV,False
13.22.541.9804,대머리 까까랏,red,TOP,Yone,False,살퀸레,blue,TOP,Quinn,True
13.22.541.9804,대머리 까까랏,blue,JUNGLE,Vi,True,젠지 위너,red,JUNGLE,LeeSin,False
13.21.539.4823,대머리 까까랏,blue,JUNGLE,Vi,False,vinaka,red,JUNGLE,JarvanIV,True
13.21.539.4823,대머리 까까랏,red,JUNGLE,MonkeyKing,True,FA Citrus,blue,MIDDLE,Kassadin,False
13.21.539.4823,대머리 까까랏,blue,JUNGLE,Vi,False,FA Citrus,red,JUNGLE,JarvanIV,True
13.21.539.4823,대머리 까까랏,red,TOP,Jax,True,xianmiaozhun,blue,TOP,KSante,False
13.21.539.4823,대머리 까까랏,blue,JUNGLE,LeeSin,False,FA Citrus,red,JUNGLE,Graves,True
13.21.539.4823,대머리 까까랏,blue,JUNGLE,LeeSin,True,Racooй,red,JUNGLE,Taliyah,False
13.21.539.1157,대머리 까까랏,blue,JUNGLE,XinZhao,True,jia xiang di,red,JUNGLE,LeeSin,False
13.21.539.1157,대머리 까까랏,blue,JUNGLE,Vi,False,jia xiang di,red,JUNGLE,LeeSin,True
13.21.539.1157,대머리 까까랏,red,JUNGLE,Taliyah,False,jia xiang di,blue,JUNGLE,Rell,True
13.21.539.1157,대머리 까까랏,blue,UTILITY,Pyke,False,긴장해라케리아,red,UTILITY,Rell,True
13.21.537.9010,tnrhgoTek,blue,UTILITY,Rell,True,HLE Pooh,red,UTILITY,Rakan,False
13.21.537.9010,tnrhgoTek,red,JUNGLE,Vi,False,Radiohead,blue,JUNGLE,JarvanIV,True
13.21.537.9010,tnrhgoTek,blue,TOP,Jax,False,pft,red,TOP,Rumble,True
13.20.536.9576,tnrhgoTek,blue,TOP,Renekton,False,God Thunder,red,TOP,Aatrox,True
13.20.536.9576,tnrhgoTek,red,TOP,Yone,False,pft,blue,TOP,Kennen,True
13.20.536.9576,tnrhgoTek,blue,MIDDLE,Akali,False,smlz1,red,MIDDLE,Leblanc,True
13.20.536.9576,tnrhgoTek,blue,TOP,Jax,False,LLL Croc,red,TOP,Kennen,True
13.20.536.9576,tnrhgoTek,blue,TOP,Poppy,False,God Thunder,red,TOP,Jax,True
13.20.536.9576,tnrhgoTek,blue,JUNGLE,Vi,True,내 공간으로 이동,red,JUNGLE,LeeSin,False
13.20.536.9576,tnrhgoTek,blue,JUNGLE,LeeSin,True,Epilogue for you,red,JUNGLE,Viego,False
13.20.536.9576,tnrhgoTek,blue,JUNGLE,Vi,True,kabmah,red,JUNGLE,Graves,False
13.20.536.9576,tnrhgoTek,red,TOP,Renekton,False,G2 Straw hat,blue,JUNGLE,Poppy,True
13.20.536.9576,tnrhgoTek,red,JUNGLE,JarvanIV,False,내 공간으로 이동,blue,JUNGLE,LeeSin,True
13.20.536.9576,tnrhgoTek,blue,JUNGLE,Viego,False,타 잔,red,JUNGLE,LeeSin,True
13.20.536.9576,tnrhgoTek,red,JUNGLE,LeeSin,True,Noob piss off,blue,JUNGLE,Viego,False
13.20.536.9576,tnrhgoTek,red,JUNGLE,Vi,True,jia xiang di,blue,JUNGLE,Nocturne,False
13.20.536.9576,tnrhgoTek,blue,JUNGLE,LeeSin,True,Gen G Winner,red,JUNGLE,Viego,False
13.20.536.9576,tnrhgoTek,red,JUNGLE,LeeSin,True,PandaCCC,blue,JUNGLE,JarvanIV,False
13.20.536.9576,tnrhgoTek,red,JUNGLE,LeeSin,True,Epilogue for you,blue,JUNGLE,Graves,False
13.20.536.9576,tnrhgoTek,blue,JUNGLE,Vi,True,Gen G Winner,red,JUNGLE,LeeSin,False
13.20.536.9576,tnrhgoTek,blue,JUNGLE,LeeSin,True,xiaofangOWO,red,JUNGLE,Vi,False
13.20.536.9576,tnrhgoTek,blue,JUNGLE,JarvanIV,False,앙 맛있엉,red,JUNGLE,Taliyah,True
13.20.536.9576,tnrhgoTek,blue,JUNGLE,LeeSin,True,질병게임1,red,JUNGLE,Graves,False
13.20.536.2230,tnrhgoTek,red,TOP,Poppy,False,T1 Gumayusi,blue,JUNGLE,Vi,True
13.20.536.2230,tnrhgoTek,red,JUNGLE,Taliyah,True,FA xiaoer,blue,JUNGLE,Zac,False
13.20.536.2230,tnrhgoTek,red,JUNGLE,JarvanIV,True,타 잔,blue,JUNGLE,Kayn,False
13.20.536.2230,tnrhgoTek,red,JUNGLE,Taliyah,False,으끄으끄,blue,JUNGLE,Vi,True
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Vi,True,Gen G Winner,red,JUNGLE,Graves,False
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Sylas,True,zxcvwer,red,JUNGLE,Graves,False
13.20.536.2230,tnrhgoTek,red,JUNGLE,LeeSin,False,White Canvis,blue,JUNGLE,Rell,True
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Vi,False,jia xiang di,red,JUNGLE,Karthus,True
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Rell,True,Cliyrd,red,JUNGLE,Viego,False
13.20.536.2230,tnrhgoTek,blue,JUNGLE,LeeSin,False,U move me,red,JUNGLE,Poppy,True
13.20.536.2230,tnrhgoTek,red,JUNGLE,Rell,True,DRX Juhana,blue,JUNGLE,LeeSin,False
13.20.536.2230,tnrhgoTek,blue,MIDDLE,Yone,False,Chinata,red,MIDDLE,Neeko,True
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Vi,True,BRO Raptor,red,JUNGLE,LeeSin,False
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Rell,False,hhhhbbbb,red,JUNGLE,LeeSin,True
13.20.536.2230,tnrhgoTek,red,JUNGLE,Vi,True,DouYu Molihua,blue,JUNGLE,Taliyah,False
13.20.536.2230,tnrhgoTek,red,JUNGLE,Taliyah,True,DouYu Molihua,blue,JUNGLE,Nidalee,False
13.20.536.2230,tnrhgoTek,blue,JUNGLE,Rell,True,U move me,red,JUNGLE,Viego,False
13.20.536.2230,tnrhgoTek,red,JUNGLE,Vi,False,내 공간으로 이동,blue,JUNGLE,Graves,True
13.20.536.2230,tnrhgoTek,red,JUNGLE,Rell,True,U move me,blue,JUNGLE,Viego,False
13.20.536.2230,tnrhgoTek,blue,MIDDLE,Ziggs,True,9빠2,red,MIDDLE,Neeko,False
13.20.536.2230,tnrhgoTek,red,JUNGLE,Rell,True,타 잔,blue,JUNGLE,Vi,False
13.20.535.2535,tnrhgoTek,blue,JUNGLE,Rell,True,BRO Raptor,red,JUNGLE,LeeSin,False
13.20.535.2535,tnrhgoTek,blue,JUNGLE,Rell,False,Cliyrd,red,JUNGLE,LeeSin,True
