,championName,perk1,perk2,perk3,skill1,skill2,sumSpell1,sumSpell2,weak1,weak2,weak3,weak4,weak5,strong1,strong2,strong3,strong4,strong5
0,Rengar,Precision,Conqueror,Resolve,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ignite,"['Warwick', '43.88%', '335']","['Darius', '45.03%', '1,659']","['Trundle', '45.19%', '3,284']","['Zac', '45.53%', '347']","['Shen', '46.14%', '427']","['Ryze', '59.69%', '129']","['Kalista', '58.18%', '110']","['Vayne', '55.99%', '309']","['Quinn', '55.74%', '305']","['Akali', '55.25%', '914']"
1,Wukong,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Ivern', '39.19%', '273']","['Teemo', '41.12%', '411']","['Shaco', '41.84%', '1,599']","['Lillia', '41.93%', '570']","['Brand', '42.83%', '586']","['Rengar', '54.29%', '245']","['Zed', '51.66%', '151']","['Vi', '50.77%', '1,623']","['Pantheon', '50.61%', '164']","['Masteryi', '50.58%', '1,825']"
2,Shyvana,Domination,Dark Harvest,Sorcery,"['E', 'W', 'Q']","['E', 'W', 'Q', 'E', 'E', 'R', 'E', 'W', 'E', 'W', 'R', 'W', 'W', 'Q', 'Q']",Flash,Smite,"['Rell', '45.27%', '148']","['Ivern', '45.81%', '310']","['Lillia', '46.58%', '732']","['Belveth', '48.04%', '997']","['Taliyah', '48.16%', '951']","['Gwen', '58.25%', '194']","['Zed', '57.01%', '214']","['Rengar', '56.9%', '239']","['Pantheon', '55.56%', '180']","['Vi', '54.88%', '1,609']"
3,Vex,Domination,Electrocute,Sorcery,"['Q', 'W', 'E']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Sett', '42.01%', '407']","['Swain', '43.48%', '1,051']","['Annie', '45.75%', '942']","['Xerath', '46.1%', '4,195']","['Anivia', '46.58%', '1,492']","['Hwei', '57.09%', '6,336']","['Leblanc', '56.78%', '9,617']","['Yone', '54.03%', '20,161']","['Pantheon', '53.89%', '1,967']","['Qiyana', '53.73%', '1,139']"
4,Kalista,Precision,Lethal Tempo,Domination,"['E', 'Q', 'W']","['E', 'Q', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Heal,"['Swain', '44.99%', '629']","['Kogmaw', '45.05%', '828']","['Missfortune', '45.43%', '6,362']","['Nilah', '45.93%', '971']","['Twitch', '46.76%', '1,572']","['Zeri', '54.12%', '2,413']","['Kaisa', '51.92%', '19,433']","['Yasuo', '51.77%', '1,130']","['Aphelios', '51.51%', '4,413']","['Xayah', '50.43%', '7,939']"
5,Jayce,Sorcery,Phase Rush,Inspiration,"['Q', 'W', 'E']","['Q', 'E', 'W', 'Q', 'Q', 'W', 'Q', 'W', 'Q', 'W', 'Q', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Maokai', '42.27%', '1,377']","['Urgot', '43.5%', '1,862']","['Nasus', '43.88%', '7,657']","['Poppy', '44.21%', '2,479']","['Ornn', '44.32%', '5,201']","['Kalista', '57.25%', '924']","['Heimerdinger', '54.06%', '1,206']","['Akali', '53.53%', '5,653']","['Sylas', '53.43%', '2,042']","['Yone', '52.91%', '17,925']"
6,Ezreal,Precision,Press the Attack,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Heal,"['Swain', '45.52%', '4,813']","['Ziggs', '47.95%', '23,582']","['Yasuo', '47.97%', '11,224']","['Jhin', '48.93%', '140,899']","['Vayne', '49.04%', '60,575']","['Zeri', '53.86%', '19,818']","['Xayah', '52.63%', '58,772']","['Aphelios', '51.9%', '38,280']","['Varus', '51.88%', '101,270']","['Tristana', '51.75%', '19,572']"
7,Rell,Inspiration,Glacial Augment,Resolve,"['W', 'E', 'Q']","['W', 'Q', 'E', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Ignite,"['Zyra', '46.11%', '2,843']","['Maokai', '46.29%', '1,348']","['Shaco', '46.3%', '1,149']","['Janna', '46.3%', '2,894']","['Twitch', '46.82%', '440']","['Hwei', '57.06%', '1,628']","['Yuumi', '56.69%', '3,874']","['Pantheon', '56.25%', '1,184']","['Missfortune', '55.43%', '857']","['Nautilus', '54.04%', '9,152']"
8,Kled,Precision,Conqueror,Resolve,"['Q', 'W', 'E']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Zac', '44.19%', '258']","['Quinn', '44.9%', '245']","['Singed', '45.26%', '285']","['Kayle', '45.58%', '566']","['Tahmkench', '45.59%', '340']","['Sylas', '60.85%', '258']","['Mordekaiser', '58.49%', '754']","['Drmundo', '57.78%', '450']","['Ryze', '56.19%', '105']","['Yasuo', '55.64%', '399']"
9,Gragas,Domination,Dark Harvest,Inspiration,"['Q', 'E', 'W']","['W', 'Q', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Brand', '44.12%', '1,251']","['Fiddlesticks', '46.05%', '1,368']","['Elise', '46.26%', '1,483']","['Nocturne', '46.94%', '6,591']","['Amumu', '46.97%', '1,254']","['Monkeyking', '55.57%', '718']","['Rumble', '53.36%', '431']","['Hecarim', '52.48%', '1,572']","['Rengar', '52.39%', '523']","['Leesin', '52.02%', '25,205']"
10,Xerath,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['W', 'Q', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Exhaust,Flash,"['Zac', '45.96%', '2,178']","['Taric', '47.51%', '882']","['Leblanc', '48.08%', '2,475']","['Maokai', '48.1%', '3,917']","['Bard', '49.28%', '4,980']","['Hwei', '61.61%', '6,249']","['Missfortune', '58.66%', '4,968']","['Veigar', '58.37%', '1,744']","['Seraphine', '55.32%', '5,647']","['Ziggs', '55.05%', '1,415']"
11,Olaf,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ghost,"['Rengar', '44.54%', '348']","['Udyr', '45.15%', '237']","['Trundle', '45.78%', '5,116']","['Kled', '46.15%', '403']","['Zed', '47.84%', '232']","['Mordekaiser', '57.01%', '1,868']","['Shen', '56.59%', '440']","['Kennen', '56.46%', '712']","['Ksante', '55.92%', '1,638']","['Maokai', '55.67%', '291']"
12,Veigar,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Ekko', '46.24%', '1,516']","['Katarina', '46.95%', '2,149']","['Aurelionsol', '47.42%', '660']","['Xerath', '47.63%', '2,423']","['Gangplank', '48.04%', '281']","['Hwei', '58.1%', '3,893']","['Azir', '56.74%', '2,210']","['Sett', '56.35%', '252']","['Morgana', '56.02%', '457']","['Pantheon', '55.33%', '985']"
13,Syndra,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Fizz', '44.09%', '9,860']","['Kassadin', '44.1%', '2,050']","['Irelia', '44.74%', '8,416']","['Katarina', '44.94%', '6,493']","['Naafiri', '45.49%', '1,684']","['Hwei', '58.88%', '14,300']","['Azir', '52.76%', '7,955']","['Pantheon', '52.41%', '2,782']","['Orianna', '52.33%', '34,091']","['Yone', '51.86%', '24,691']"
14,Ornn,Resolve,Grasp of the Undying,Inspiration,"['W', 'Q', 'E']","['Q', 'W', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Teleport,"['Singed', '42.67%', '764']","['Kayle', '46.47%', '1,586']","['Fiora', '47.36%', '4,297']","['Olaf', '47.55%', '917']","['Udyr', '48.04%', '408']","['Vladimir', '57.3%', '445']","['Teemo', '56.9%', '2,840']","['Malphite', '56.85%', '4,806']","['Kalista', '56.82%', '308']","['Gragas', '56.69%', '344']"
15,Jarvan IV,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Gwen', '45.18%', '892']","['Fiddlesticks', '45.33%', '3,225']","['Briar', '46.29%', '9,093']","['Ivern', '46.4%', '1,625']","['Karthus', '46.5%', '3,961']","['Sejuani', '51.27%', '3,667']","['Maokai', '51.21%', '3,689']","['Nunu', '51.2%', '3,039']","['Hecarim', '50.78%', '3,637']","['Vi', '50.73%', '6,819']"
16,Gwen,Precision,Conqueror,Resolve,"['Q', 'E', 'W']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Ghost,Teleport,"['Singed', '41.48%', '904']","['Zed', '42.07%', '416']","['Quinn', '43.69%', '531']","['Kayle', '43.82%', '1,335']","['Riven', '44.12%', '3,035']","['Sion', '56.66%', '2,434']","['Kalista', '56.27%', '279']","['Ksante', '53.52%', '4,589']","['Drmundo', '53.26%', '2,223']","['Illaoi', '53.18%', '4,361']"
17,Lux,Sorcery,Arcane Comet,Inspiration,"['E', 'Q', 'W']","['E', 'Q', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Ignite,"['Xerath', '45.6%', '37,415']","['Blitzcrank', '45.69%', '31,426']","['Leblanc', '46.29%', '3,057']","['Twitch', '46.36%', '2,127']","['Fiddlesticks', '46.44%', '1,768']","['Hwei', '57.37%', '8,346']","['Malphite', '52.79%', '3,283']","['Missfortune', '52.78%', '7,886']","['Veigar', '52.71%', '2,783']","['Lulu', '51.91%', '13,661']"
18,Vayne,Precision,Lethal Tempo,Resolve,"['W', 'Q', 'E']","['Q', 'W', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Ghost,"['Swain', '45.84%', '986']","['Nilah', '46.86%', '1,592']","['Twitch', '48.32%', '2,523']","['Missfortune', '48.33%', '11,499']","['Draven', '49.02%', '3,562']","['Zeri', '56.15%', '3,911']","['Yasuo', '53.43%', '2,188']","['Sivir', '53.14%', '5,167']","['Kaisa', '52.4%', '34,526']","['Tristana', '52.12%', '4,083']"
