,championName,perk1,perk2,perk3,skill1,skill2,sumSpell1,sumSpell2,weak1,weak2,weak3,weak4,weak5,strong1,strong2,strong3,strong4,strong5
0,Pantheon,Precision,Conqueror,Resolve,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ignite,"['Maokai', '40.13%', '319']","['Zac', '40.52%', '348']","['Yorick', '43.6%', '688']","['Nasus', '43.77%', '1,510']","['Singed', '44.55%', '413']","['Kalista', '57.45%', '235']","['Heimerdinger', '56.06%', '264']","['Shen', '53.66%', '464']","['Vayne', '53.44%', '567']","['Gragas', '52.92%', '257']"
1,Urgot,Precision,Press the Attack,Resolve,"['W', 'E', 'Q']","['E', 'W', 'Q', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Teleport,"['Kayle', '43.89%', '736']","['Vayne', '44.99%', '489']","['Maokai', '45.65%', '184']","['Olaf', '45.73%', '503']","['Ornn', '46.12%', '798']","['Kalista', '64.66%', '116']","['Vladimir', '57.46%', '181']","['Jayce', '56.56%', '1,860']","['Sylas', '55.91%', '313']","['Riven', '55.73%', '1,161']"
2,Kha'Zix,Inspiration,First Strike,Domination,noway,noway,Flash,Smite,"['Rammus', '45.47%', '3,088']","['Ivern', '45.53%', '1,153']","['Elise', '46.35%', '2,973']","['Fiddlesticks', '46.81%', '2,412']","['Maokai', '47.07%', '2,269']","['Zed', '55.36%', '616']","['Udyr', '54.91%', '814']","['Sylas', '52.43%', '5,346']","['Hecarim', '52.3%', '2,541']","['Masteryi', '52.16%', '6,491']"
3,Caitlyn,Precision,Fleet Footwork,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Heal,"['Swain', '44.15%', '2,564']","['Ziggs', '46.63%', '12,350']","['Jhin', '47.91%', '78,368']","['Yasuo', '48.36%', '5,393']","['Kogmaw', '48.64%', '2,977']","['Zeri', '53.76%', '8,385']","['Kaisa', '51.94%', '68,515']","['Xayah', '51.69%', '26,609']","['Aphelios', '51.67%', '19,233']","['Kalista', '50.61%', '13,826']"
4,Tristana,Precision,Lethal Tempo,Domination,"['E', 'Q', 'W']","['E', 'W', 'Q', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Heal,"['Nilah', '40.15%', '665']","['Swain', '43.34%', '353']","['Kogmaw', '44.38%', '507']","['Yasuo', '45.24%', '809']","['Ziggs', '47.05%', '1,764']","['Zeri', '52.38%', '1,426']","['Aphelios', '51.92%', '2,321']","['Kaisa', '50.81%', '12,346']","['Xayah', '50.63%', '4,414']","['Varus', '50.49%', '7,109']"
5,LeBlanc,Domination,Electrocute,Sorcery,"['W', 'Q', 'E']","['W', 'Q', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Teleport,"['Naafiri', '42.31%', '1,678']","['Malzahar', '42.75%', '3,981']","['Akshan', '42.96%', '2,821']","['Vex', '43.22%', '9,617']","['Galio', '44.87%', '3,078']","['Hwei', '57.3%', '9,261']","['Qiyana', '53.41%', '1,378']","['Renekton', '51.89%', '424']","['Azir', '51.14%', '4,648']","['Orianna', '51.1%', '15,574']"
6,Garen,Precision,Conqueror,Sorcery,"['E', 'Q', 'W']","['E', 'Q', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Ignite,"['Kayle', '44.49%', '3,659']","['Quinn', '45.32%', '1,697']","['Vayne', '45.59%', '3,323']","['Kled', '45.73%', '879']","['Camille', '47.08%', '4,926']","['Jax', '56.07%', '24,128']","['Riven', '55.73%', '5,430']","['Yone', '55.69%', '13,588']","['Renekton', '55.49%', '3,916']","['Sylas', '55.37%', '1,452']"
7,Pyke,Domination,Hail of Blades,Resolve,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ignite,"['Maokai', '44.64%', '3,273']","['Zac', '46.22%', '1,244']","['Shaco', '46.26%', '2,596']","['Rakan', '46.59%', '19,396']","['Fiddlesticks', '46.87%', '975']","['Hwei', '60.15%', '4,253']","['Missfortune', '57.09%', '2,298']","['Twitch', '55.59%', '1,198']","['Ziggs', '55.38%', '706']","['Yuumi', '55.05%', '8,494']"
8,Udyr,Precision,Conqueror,Resolve,noway,noway,Ghost,Smite,"['Ivern', '43.1%', '232']","['Rumble', '43.59%', '156']","['Zac', '44.92%', '846']","['Khazix', '45.09%', '814']","['Rammus', '45.15%', '742']","['Rengar', '57.25%', '138']","['Monkeyking', '55.29%', '293']","['Hecarim', '53.89%', '579']","['Zed', '53.33%', '105']","['Taliyah', '52.36%', '720']"
9,Malzahar,Sorcery,Summon Aery,Inspiration,"['E', 'Q', 'W']","['E', 'W', 'Q', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Teleport,"['Aurelionsol', '45.03%', '755']","['Naafiri', '45.47%', '618']","['Gangplank', '45.87%', '303']","['Diana', '46.26%', '815']","['Talon', '46.36%', '2,696']","['Hwei', '58.96%', '3,665']","['Malphite', '58.43%', '421']","['Vladimir', '57.69%', '995']","['Leblanc', '57.25%', '3,981']","['Pantheon', '56.46%', '859']"
10,Kennen,Sorcery,Summon Aery,Domination,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Drmundo', '41.46%', '1,030']","['Nasus', '42.03%', '3,514']","['Maokai', '42.86%', '574']","['Olaf', '43.46%', '711']","['Kayle', '45.27%', '846']","['Volibear', '55.04%', '1,379']","['Udyr', '53.94%', '241']","['Rumble', '53.76%', '1,676']","['Yone', '52.85%', '4,089']","['Gwen', '52.65%', '1,020']"
11,Rek'Sai,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Karthus', '46.51%', '873']","['Nocturne', '46.56%', '3,005']","['Brand', '46.68%', '542']","['Trundle', '47.22%', '432']","['Elise', '47.24%', '834']","['Monkeyking', '56.81%', '301']","['Diana', '55.32%', '714']","['Hecarim', '54.98%', '853']","['Warwick', '54.46%', '606']","['Gwen', '54.2%', '131']"
12,Heimerdinger,Sorcery,Arcane Comet,Inspiration,"['W', 'Q', 'E']","['Q', 'W', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Ignite,"['Zac', '44.95%', '287']","['Bard', '46%', '826']","['Galio', '46.1%', '154']","['Xerath', '46.66%', '2,542']","['Maokai', '47.58%', '517']","['Tahmkench', '58.65%', '237']","['Hwei', '56.54%', '734']","['Seraphine', '55.1%', '833']","['Fiddlesticks', '55.09%', '216']","['Sona', '55.06%', '336']"
13,Bard,Resolve,Guardian,Domination,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ignite,"['Teemo', '46.11%', '347']","['Maokai', '47.35%', '1,020']","['Zyra', '48.61%', '3,162']","['Velkoz', '48.79%', '828']","['Janna', '49.14%', '2,509']","['Hwei', '59.08%', '1,420']","['Veigar', '57.83%', '351']","['Missfortune', '57.79%', '687']","['Twitch', '56.55%', '458']","['Ziggs', '55.56%', '225']"
14,Gangplank,Inspiration,First Strike,Resolve,"['Q', 'E', 'W']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Kayle', '44.14%', '2,646']","['Kled', '44.73%', '807']","['Rengar', '44.94%', '1,157']","['Ornn', '45.98%', '2,451']","['Drmundo', '46.16%', '1,720']","['Kennen', '53.99%', '1,252']","['Akali', '53.55%', '2,579']","['Yasuo', '53.35%', '1,747']","['Yone', '53.16%', '8,256']","['Gwen', '52.86%', '2,043']"
15,Nunu & Willump,Sorcery,Phase Rush,Precision,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Brand', '45.01%', '1,102']","['Lillia', '45.02%', '993']","['Fiddlesticks', '45.46%', '1,124']","['Amumu', '45.57%', '1,308']","['Briar', '45.95%', '3,382']","['Zed', '56.68%', '247']","['Warwick', '52.58%', '1,592']","['Pantheon', '52.49%', '301']","['Gragas', '51.92%', '1,200']","['Monkeyking', '51.81%', '635']"
16,Zeri,Precision,Lethal Tempo,Resolve,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ghost,"['Kogmaw', '43.51%', '485']","['Nilah', '43.7%', '595']","['Vayne', '43.85%', '3,911']","['Twitch', '45.05%', '1,061']","['Lucian', '45.09%', '11,165']",None,None,None,None,None
17,Yorick,Sorcery,Arcane Comet,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Irelia', '44.79%', '2,226']","['Trundle', '44.85%', '7,273']","['Kled', '44.97%', '378']","['Kayle', '45.8%', '1,083']","['Tryndamere', '46.12%', '1,288']","['Heimerdinger', '57.6%', '434']","['Pantheon', '56.4%', '688']","['Illaoi', '55.57%', '2,854']","['Tahmkench', '55.4%', '722']","['Ksante', '55.33%', '1,717']"
18,Jax,Precision,Lethal Tempo,Resolve,"['W', 'E', 'Q']","['E', 'Q', 'W', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Teleport,"['Garen', '43.93%', '24,125']","['Singed', '44.6%', '4,359']","['Illaoi', '45.49%', '14,598']","['Drmundo', '45.96%', '6,610']","['Zac', '46.19%', '3,230']","['Kalista', '61.22%', '1,078']","['Irelia', '55.28%', '10,731']","['Yasuo', '54.35%', '5,154']","['Yone', '54.01%', '32,070']","['Tryndamere', '53.43%', '6,161']"
19,Hwei,Sorcery,Arcane Comet,Inspiration,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Naafiri', '36.11%', '2,008']","['Sett', '37.19%', '597']","['Talon', '38%', '8,808']","['Fizz', '38.17%', '8,359']","['Katarina', '38.25%', '7,049']",None,None,None,None,None
20,Lillia,Precision,Conqueror,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Smite,"['Fiddlesticks', '44.06%', '976']","['Ivern', '44.28%', '481']","['Teemo', '44.71%', '662']","['Karthus', '45.48%', '1,207']","['Briar', '45.51%', '3,026']","['Gwen', '58.29%', '199']","['Monkeyking', '58.07%', '570']","['Sejuani', '57.3%', '1,384']","['Rammus', '55.62%', '2,866']","['Rumble', '55.56%', '324']"
21,Jinx,Precision,Lethal Tempo,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ghost,"['Swain', '42.53%', '1,599']","['Ziggs', '45.37%', '6,220']","['Twitch', '46.39%', '4,951']","['Jhin', '48.39%', '34,658']","['Ezreal', '48.42%', '83,356']","['Zeri', '53.24%', '6,386']","['Kaisa', '51.79%', '50,494']","['Xayah', '51.77%', '20,561']","['Kalista', '51.72%', '9,415']","['Aphelios', '51.38%', '15,451']"
22,Briar,Domination,Hail of Blades,Inspiration,"['W', 'Q', 'E']","['W', 'E', 'Q', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Smite,"['Rammus', '46.78%', '9,141']","['Nocturne', '48.49%', '21,339']","['Jax', '49.05%', '4,901']","['Reksai', '49.19%', '1,732']","['Teemo', '49.49%', '2,465']","['Sylas', '55.76%', '8,707']","['Zed', '55.52%', '906']","['Nidalee', '55.5%', '9,048']","['Gwen', '55.42%', '951']","['Diana', '55.32%', '4,705']"
23,Leona,Resolve,Aftershock,Inspiration,"['W', 'E', 'Q']","['Q', 'E', 'W', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Ignite,"['Bard', '47.08%', '3,033']","['Taric', '47.22%', '1,563']","['Zac', '47.37%', '1,292']","['Morgana', '47.96%', '13,090']","['Janna', '48.06%', '5,734']","['Hwei', '60.48%', '3,998']","['Missfortune', '58.59%', '2,618']","['Yuumi', '56.47%', '8,934']","['Malphite', '55.8%', '1,328']","['Pantheon', '55.18%', '2,961']"
24,Alistar,Inspiration,Glacial Augment,Resolve,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ignite,"['Janna', '45.76%', '3,916']","['Brand', '46.57%', '3,002']","['Zilean', '46.99%', '1,728']","['Zyra', '47.2%', '4,180']","['Taric', '47.38%', '1,051']","['Missfortune', '59.28%', '1,454']","['Hwei', '56.63%', '2,709']","['Yuumi', '55.36%', '5,473']","['Malphite', '54.45%', '999']","['Pantheon', '53.52%', '2,418']"
25,Aatrox,Precision,Conqueror,Resolve,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Singed', '42.4%', '4,943']","['Irelia', '46.69%', '20,765']","['Illaoi', '46.97%', '15,820']","['Heimerdinger', '46.99%', '2,458']","['Maokai', '47.1%', '3,622']","['Chogath', '53.97%', '2,466']","['Sion', '53.73%', '6,885']","['Sylas', '52.87%', '4,250']","['Kalista', '52.74%', '1,695']","['Gragas', '52.5%', '2,438']"
26,Malphite,Sorcery,Arcane Comet,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Zac', '41.16%', '1,866']","['Maokai', '42.97%', '1,345']","['Ornn', '43.16%', '4,812']","['Drmundo', '43.32%', '3,130']","['Sion', '44.26%', '2,892']","['Kalista', '63.74%', '1,230']","['Vayne', '59.04%', '3,584']","['Tryndamere', '58.4%', '4,399']","['Zed', '55.84%', '1,148']","['Jayce', '55.16%', '19,696']"
27,Nasus,Precision,Fleet Footwork,Resolve,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Ghost,Teleport,"['Tahmkench', '46.94%', '2,367']","['Olaf', '47.69%', '1,799']","['Zac', '47.88%', '1,343']","['Volibear', '48.11%', '4,022']","['Garen', '48.15%', '6,610']","['Kalista', '62.68%', '710']","['Kennen', '58.01%', '3,510']","['Yasuo', '57.26%', '2,515']","['Vayne', '57.25%', '2,571']","['Vladimir', '57.01%', '1,156']"
28,Samira,Precision,Conqueror,Domination,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Heal,"['Swain', '41.12%', '1,707']","['Nilah', '47.2%', '5,326']","['Ziggs', '47.25%', '6,117']","['Kogmaw', '47.84%', '1,848']","['Jinx', '48.79%', '24,562']","['Zeri', '54.6%', '5,996']","['Kaisa', '54.01%', '49,160']","['Aphelios', '53.27%', '10,157']","['Draven', '52.96%', '6,424']","['Tristana', '52.52%', '5,396']"
29,Ahri,Domination,Electrocute,Sorcery,"['Q', 'W', 'E']","['W', 'Q', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Swain', '45.82%', '1,329']","['Akshan', '46.36%', '3,533']","['Diana', '46.64%', '2,618']","['Naafiri', '46.69%', '1,814']","['Brand', '46.71%', '1,854']","['Hwei', '57.08%', '11,640']","['Corki', '52.69%', '1,486']","['Nunu', '52.48%', '1,189']","['Malphite', '52.38%', '1,491']","['Pantheon', '52.08%', '3,026']"
30,Miss Fortune,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Heal,"['Swain', '41.21%', '1,007']","['Ziggs', '45.37%', '5,008']","['Jhin', '48.31%', '26,577']","['Ezreal', '49.26%', '54,070']","['Kogmaw', '49.42%', '1,293']","['Kalista', '54.57%', '6,362']","['Zeri', '54.06%', '3,574']","['Aphelios', '53.19%', '6,890']","['Kaisa', '53.01%', '31,317']","['Xayah', '52.55%', '10,665']"
31,Swain,Domination,Electrocute,Inspiration,"['Q', 'W', 'E']","['E', 'W', 'Q', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ignite,"['Brand', '43.53%', '2,396']","['Zyra', '44.36%', '3,181']","['Zilean', '44.85%', '1,106']","['Xerath', '45.99%', '6,047']","['Teemo', '46.46%', '607']","['Hwei', '55.86%', '1,715']","['Galio', '55.69%', '334']","['Pantheon', '55.37%', '1,342']","['Nautilus', '55%', '7,260']","['Malphite', '53.69%', '650']"
32,Lee Sin,Precision,Conqueror,Inspiration,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Smite,"['Brand', '46.46%', '13,433']","['Ivern', '46.59%', '7,045']","['Nocturne', '46.95%', '74,704']","['Rammus', '47%', '19,489']","['Briar', '47.21%', '40,159']","['Zed', '52.5%', '3,554']","['Monkeyking', '52.41%', '9,105']","['Rengar', '51.94%', '4,946']","['Pantheon', '51.44%', '3,099']","['Hecarim', '51.43%', '15,730']"
33,Fiora,Resolve,Grasp of the Undying,Sorcery,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Warwick', '45.8%', '1,738']","['Zac', '46.87%', '1,502']","['Poppy', '47.1%', '1,675']","['Illaoi', '47.3%', '4,831']","['Malphite', '47.43%', '7,827']","['Ksante', '56.69%', '6,770']","['Chogath', '55.49%', '1,083']","['Sion', '55.48%', '2,738']","['Sylas', '55.13%', '1,453']","['Gwen', '54.9%', '4,337']"
34,Jhin,Precision,Fleet Footwork,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Heal,"['Swain', '46.61%', '2,244']","['Twitch', '48.4%', '6,606']","['Yasuo', '48.64%', '4,628']","['Vayne', '49.17%', '20,201']",None,"['Zeri', '53.84%', '7,560']","['Xayah', '53.19%', '22,528']","['Aphelios', '52.26%', '15,548']","['Caitlyn', '52.09%', '78,368']","['Nilah', '51.97%', '2,615']"
