championName,worstAgainst1,worstAgainst2,worstAgainst3,worstAgainst4,worstAgainst5,worstAgainst6
Rengar,"['Master Yi', '44.9%']","['Briar', '47.4%']","['Diana', '47.7%']","['Ekko', '47.8%']","['Rammus', '47.8%']","[""Bel'Veth"", '48.0%']"
Wukong,"['Ivern', '38.6%']","['Talon', '40.7%']","['Taliyah', '41.4%']","['Nunu & Willump', '41.8%']","[""Rek'Sai"", '43.1%']","['Karthus', '43.1%']"
Shyvana,"['Nunu & Willump', '38.3%']","['Elise', '38.7%']","['Jax', '41.9%']","['Sejuani', '42.0%']","['Lillia', '44.0%']","[""Kha'Zix"", '44.9%']"
Vex,"['Swain', '40.3%']","['Cassiopeia', '44.5%']","['Anivia', '46.1%']","['Vladimir', '46.3%']","['Akshan', '46.4%']","['Kassadin', '47.8%']"
Kalista,"[""Kog'Maw"", '44.8%']","['Miss Fortune', '46.7%']","['Ziggs', '46.8%']","['Jinx', '47.8%']","['Vayne', '48.1%']","['Twitch', '48.4%']"
Jayce,"['Kled', '42.9%']","['Rengar', '43.1%']","['Ornn', '43.1%']","['Dr. Mundo', '43.5%']","['Malphite', '43.5%']","['Vladimir', '43.6%']"
Ezreal,"['Seraphine', '47.6%']","['Vayne', '48.1%']","['Nilah', '48.9%']","['Jhin', '49.1%']","[""Kog'Maw"", '49.2%']","['Twitch', '49.7%']"
Rell,"['Brand', '45.3%']","['Sona', '45.4%']","['Poppy', '45.5%']","['Shaco', '46.0%']","['Janna', '46.5%']","['Bard', '46.9%']"
Kled,"['Vladimir', '38.2%']","['Vayne', '42.1%']","['Varus', '44.1%']","['Quinn', '45.0%']","['Fiora', '46.7%']","['Ornn', '46.9%']"
Gragas,"['Rammus', '45.2%']","['Shyvana', '46.1%']","['Taliyah', '46.1%']","['Evelynn', '46.2%']","['Fiddlesticks', '46.2%']","['Nunu & Willump', '46.3%']"
Xerath,"['Sylas', '44.1%']","['Maokai', '46.1%']","['Milio', '47.7%']","['Janna', '48.3%']","['Nami', '48.6%']","['Soraka', '49.0%']"
Olaf,"['Quinn', '45.3%']","['Trundle', '45.9%']","['Kled', '46.7%']","['Vayne', '46.8%']","['Singed', '47.4%']","['Camille', '47.7%']"
Veigar,"['Ekko', '44.9%']","['Taliyah', '45.3%']","['Katarina', '47.2%']","['Xerath', '47.4%']","['LeBlanc', '47.9%']","['Twisted Fate', '48.0%']"
Syndra,"['Fizz', '45.4%']","['Katarina', '46.4%']","['Xerath', '46.8%']","['Kassadin', '47.0%']","['Talon', '47.0%']","['Sylas', '47.7%']"
